model_name,condition,column,manual,recomputed,abs_diff
CP_REPO_LRPM,high_within_block_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_LRPM,inflection_points,n_assets,1.0,10.0,9.0
CP_REPO_LRPM,older_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_LRPM,older_spike_position,equal_weight_asset_mean_abs_error_model,1032959.2653492448,1032959.2653492449,1.1641532182693481e-10
CP_REPO_LRPM,older_spike_position,equal_weight_asset_mean_abs_error_advantage_vs_CP,-1032959.2647925568,-1032959.2647925569,1.1641532182693481e-10
CP_REPO_LRPM,recent_ramp_high_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_LRPM,recent_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_LRPM,recent_spike_position,equal_weight_asset_mean_abs_error_advantage_vs_CP,-63433578.67668896,-63433578.676688954,7.450580596923828e-09
CP_REPO_LRPM,same_average_back_loaded,n_assets,1.0,10.0,9.0
CP_REPO_LRPM,same_average_different_path,n_assets,1.0,10.0,9.0
CP_REPO_LRPM,same_average_recent_front_loaded,n_assets,1.0,10.0,9.0
CP_REPO_LRPM,stable_low_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,all_observations,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,cluster_entry_loose,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,cluster_entry_strict,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,cluster_exit_loose,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,cluster_exit_strict,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,entry_with_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,entry_without_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,high_within_block_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,inflection_points,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,older_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,recent_ramp_high_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,recent_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,same_average_back_loaded,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,same_average_different_path,n_assets,1.0,10.0,9.0
CP_REPO_OPS_C,same_average_recent_front_loaded,n_assets,1.0,10.0,9.0
