asset,model_name,model_family,selected_lambda_shape,selected_lambda_r_ratio,intercept_unpenalized_by_code,cp_rv_penalized_count,extra_feature_count,extra_penalized_count,ridge_penalized_count,cp_unpenalized_pass,all_extra_penalized_when_ridge_model,hg_lambda_c_unique,hg_lambda_r_unique
HYG,RIDGE_AR22,ridge_ar,0.0001,2.0,True,0,22,22,22,True,True,[],[]
HYG,CP_REPO_OPS_K,ridge_shape,0.01,2.0,True,0,8,8,8,True,True,[],[]
QQQ,CP_REPO_FRESH,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
QQQ,HAR_RV,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
QQQ,RAW_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
QQQ,RAW_CP_REPO_PLUS_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
QQQ,CP_REPO_OPS_R,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
QQQ,CP_REPO_RIDGE_OPS_R,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
QQQ,CP_REPO_LRPM,linear,0.0,0.0,True,0,25,0,0,True,True,[],[]
QQQ,CP_REPO_RECENT_SLOPE,linear,0.0,0.0,True,0,5,0,0,True,True,[],[]
QQQ,CP_REPO_HAAR_SHAPE,linear,0.0,0.0,True,0,18,0,0,True,True,[],[]
QQQ,CP_REPO_OPS_C,linear,0.0,0.0,True,0,24,0,0,True,True,[],[]
QQQ,CP_REPO_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
QQQ,CP_REPO_GATED_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[0.01],[]
QQQ,CP_REPO_OPS_HG,hierarchical_gated_ridge,0.0001,2.0,True,0,34,34,34,True,True,[0.0001],[0.0002]
QQQ,RANDOM_RESIDUES_PLACEBO_REPO,ridge_shape,0.0001,2.0,True,0,10,10,10,True,True,[],[]
QQQ,SHUFFLED_LAG_PM_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
QQQ,RANDOM_GATE_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
QQQ,RIDGE_AR22,ridge_ar,0.0001,2.0,True,0,22,22,22,True,True,[],[]
QQQ,CP_REPO_OPS_K,ridge_shape,0.01,2.0,True,0,8,8,8,True,True,[],[]
SPY,CP_REPO_FRESH,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
SPY,HAR_RV,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
SPY,RAW_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
SPY,RAW_CP_REPO_PLUS_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
SPY,CP_REPO_OPS_R,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
SPY,CP_REPO_RIDGE_OPS_R,ridge_shape,0.0001,2.0,True,0,10,10,10,True,True,[],[]
SPY,CP_REPO_LRPM,linear,0.0,0.0,True,0,25,0,0,True,True,[],[]
SPY,CP_REPO_RECENT_SLOPE,linear,0.0,0.0,True,0,5,0,0,True,True,[],[]
SPY,CP_REPO_HAAR_SHAPE,linear,0.0,0.0,True,0,18,0,0,True,True,[],[]
SPY,CP_REPO_OPS_C,linear,0.0,0.0,True,0,24,0,0,True,True,[],[]
SPY,CP_REPO_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
SPY,CP_REPO_GATED_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[0.01],[]
SPY,CP_REPO_OPS_HG,hierarchical_gated_ridge,0.01,2.0,True,0,34,34,34,True,True,[0.01],[0.02]
SPY,RANDOM_RESIDUES_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
SPY,SHUFFLED_LAG_PM_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
SPY,RANDOM_GATE_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
SPY,RIDGE_AR22,ridge_ar,0.001,2.0,True,0,22,22,22,True,True,[],[]
SPY,CP_REPO_OPS_K,ridge_shape,0.01,2.0,True,0,8,8,8,True,True,[],[]
TLT,CP_REPO_FRESH,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
TLT,HAR_RV,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
TLT,RAW_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
TLT,RAW_CP_REPO_PLUS_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
TLT,CP_REPO_OPS_R,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
TLT,CP_REPO_RIDGE_OPS_R,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
TLT,CP_REPO_LRPM,linear,0.0,0.0,True,0,25,0,0,True,True,[],[]
TLT,CP_REPO_RECENT_SLOPE,linear,0.0,0.0,True,0,5,0,0,True,True,[],[]
TLT,CP_REPO_HAAR_SHAPE,linear,0.0,0.0,True,0,18,0,0,True,True,[],[]
TLT,CP_REPO_OPS_C,linear,0.0,0.0,True,0,24,0,0,True,True,[],[]
TLT,CP_REPO_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
TLT,CP_REPO_GATED_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[0.01],[]
TLT,CP_REPO_OPS_HG,hierarchical_gated_ridge,0.01,20.0,True,0,34,34,34,True,True,[0.01],[0.2]
TLT,RANDOM_RESIDUES_PLACEBO_REPO,ridge_shape,0.0001,2.0,True,0,10,10,10,True,True,[],[]
TLT,SHUFFLED_LAG_PM_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
TLT,RANDOM_GATE_PLACEBO_REPO,ridge_shape,0.0001,2.0,True,0,24,24,24,True,True,[],[]
TLT,RIDGE_AR22,ridge_ar,0.01,2.0,True,0,22,22,22,True,True,[],[]
TLT,CP_REPO_OPS_K,ridge_shape,0.01,2.0,True,0,8,8,8,True,True,[],[]
