model_name,condition,condition_label_type,loss_variant,loss_metric,n_obs_total,n_assets,pooled_CP_loss,pooled_model_loss,pooled_advantage_CP_minus_model,equal_weight_asset_advantage,assets_positive
PHQO,all_observations,not_conditioned,standard,MAE,356403,10,0.0005958403177304644,0.000595791208930505,4.91087999593973e-08,4.743528226236113e-08,7
PM_QDK_2,all_observations,not_conditioned,standard,MAE,367468,10,0.0005862627333686982,0.0006012703576758411,-1.5007624307142916e-05,-1.5024934784782045e-05,7
PM_QDK,all_observations,not_conditioned,standard,MAE,367468,10,0.0005862627333686982,0.0006164191585371382,-3.0156425168439993e-05,-3.0156996296453754e-05,1
PHQO,all_observations,not_conditioned,standard,MSE,356403,10,2.2372899399007033e-06,2.237231108216171e-06,5.883168453228008e-11,5.706467585194587e-11,7
PM_QDK,all_observations,not_conditioned,standard,MSE,367468,10,2.195810003722176e-06,2.446858858352701e-06,-2.5104885463052517e-07,-2.5109151846563414e-07,0
PM_QDK_2,all_observations,not_conditioned,standard,MSE,367468,10,2.195810003722176e-06,2.551355154165476e-06,-3.555451504433001e-07,-3.555154329193102e-07,0
PHQO,all_observations,not_conditioned,standard,RMSE,356403,10,0.0014036377800777935,0.0014036218615488742,1.5918528919285288e-08,1.558582422137348e-08,7
PM_QDK,all_observations,not_conditioned,standard,RMSE,367468,10,0.0013888098610510206,0.0014667864352924356,-7.797657424141505e-05,-7.799050267998396e-05,0
PM_QDK_2,all_observations,not_conditioned,standard,RMSE,367468,10,0.0013888098610510206,0.0015127324078259236,-0.00012392254677490297,-0.00012392354376879197,0
PM_QDK_2,all_observations,not_conditioned,standard,SMAPE,367468,10,100.87996479236018,99.4014121869994,1.4785526053607896,1.4780783007984013,9
PHQO,all_observations,not_conditioned,standard,SMAPE,356403,10,97.97092912786874,97.95537392106124,0.015555206807505328,0.016441221006117245,8
PM_QDK,all_observations,not_conditioned,standard,SMAPE,367468,10,100.87996479236018,102.61759556433319,-1.7376307719730022,-1.737737151981196,0
