model_name,condition,n_obs_total,n_assets,pooled_model_mean_SMAPE,equal_weight_asset_model_mean_SMAPE,pooled_CP_mean_SMAPE,equal_weight_asset_CP_mean_SMAPE,pooled_mean_advantage_vs_CP,equal_weight_asset_mean_advantage_vs_CP,pooled_median_advantage_vs_CP,equal_weight_asset_median_advantage_vs_CP,pooled_win_rate_vs_CP,equal_weight_asset_win_rate_vs_CP,pooled_winsorized_mean_advantage_1_99,equal_weight_asset_winsorized_mean_advantage_1_99,pooled_trimmed_mean_advantage_10pct,equal_weight_asset_trimmed_mean_advantage_10pct,pooled_mean_abs_error_model,equal_weight_asset_mean_abs_error_model,pooled_mean_abs_error_CP,equal_weight_asset_mean_abs_error_CP,pooled_mean_abs_error_advantage_vs_CP,equal_weight_asset_mean_abs_error_advantage_vs_CP,assets_positive,assets_negative
CP_REPO_FRESH,all_observations,367468,10,100.87996479236023,100.88077507091971,100.87996479236023,100.88077507091971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005862627333686479,0.00058623459832693,0.0005862627333686479,0.00058623459832693,0.0,0.0,0,0
HAR_RV,all_observations,367468,10,102.17009400940049,102.17107250400618,100.87996479236023,100.88077507091971,-1.290129217040266,-1.2902974330864876,-0.6048761409504475,-0.6050045612639948,0.3814944430535448,0.3814921795579294,-1.3489705116801878,-1.349119113711186,-1.3267537943169871,-1.3269247039716823,0.0006037872445987504,0.00060375952747637,0.0005862627333686479,0.00058623459832693,-1.7524511230098423e-05,-1.752492914943601e-05,1,9
RAW_PM,all_observations,367468,10,101.90737803914651,101.90830070186759,100.87996479236023,100.88077507091971,-1.027413246786284,-1.0275256309478695,-0.06568656038651241,-0.06570050619807546,0.4013682824082641,0.4013669109757048,-1.0861557057818734,-1.0862553084958013,-0.7220152526754726,-0.7221089988093471,0.0005993109791939399,0.00059928283346498,0.0005862627333686479,0.00058623459832693,-1.304824582529696e-05,-1.3048235138054845e-05,1,9
RAW_CP_REPO_PLUS_PM,all_observations,367468,10,101.1044471326595,101.10511180291567,100.87996479236023,100.88077507091971,-0.22448234029925984,-0.2243367319959587,0.0,0.0,0.40749398587087854,0.407497392229068,-0.09785255217201397,-0.09772547482626823,-0.0573479982003278,-0.0572822490569169,0.0005851831743291484,0.00058515526510448,0.0005862627333686479,0.00058623459832693,1.079559039496032e-06,1.0793332224464342e-06,1,9
CP_REPO_OPS_R,all_observations,367468,10,108.83373919866372,108.83389691076613,100.87996479236023,100.88077507091971,-7.9650170817028245,-7.964360370690519,-0.11756978523007458,-0.11759474628848103,0.36358540063352457,0.36359173305972164,-7.988792042972363,-7.988114405199394,-2.484578990690815,-2.484437320024532,0.0029797552096557105,0.00297974235823761,0.0005862627333686479,0.00058623459832693,-0.0023934924762870277,-0.002393507759910645,0,10
CP_REPO_RIDGE_OPS_R,all_observations,367468,10,101.01518400446531,101.01593707597733,100.87996479236023,100.88077507091971,-0.13521921210507984,-0.13516200505761616,0.0,0.0,0.41235427302513417,0.41235869396357466,-0.0789002876444404,-0.0788568098381631,-0.014598078821028435,-0.01458345322116877,0.0005868922601175064,0.00058686385587824,0.0005862627333686479,0.00058623459832693,-6.29526748851951e-07,-6.29257551303435e-07,1,9
CP_REPO_LRPM,all_observations,367468,10,113.0186537188445,113.01866075351833,100.87996479236023,100.88077507091971,-12.142720408912467,-12.141916833694866,-0.346587312750435,-0.346660896164231,0.3432190013824333,0.3432247119991252,-12.28489198030666,-12.28408422029623,-4.598442194578818,-4.597885144738861,20493131.509753052,20492111.40870622,0.0005862627333686479,0.00058623459832693,-20493131.50916679,-20492111.408119984,0,10
CP_REPO_RECENT_SLOPE,all_observations,367468,10,101.09279405097493,101.0934192030681,100.87996479236023,100.88077507091971,-0.21282925861471258,-0.21264413214838745,0.0,0.0,0.41331490088932915,0.4133249290695155,-0.1328000903955716,-0.13262396434336343,-0.03840662433443793,-0.038257946022034486,0.0005858807409987865,0.00058585147132551,0.0005862627333686479,0.00058623459832693,3.8199236986171813e-07,3.831270014202794e-07,4,6
CP_REPO_HAAR_SHAPE,all_observations,367468,10,101.14442366662749,101.14509418498737,100.87996479236023,100.88077507091971,-0.26445887426724346,-0.2643191140676757,0.001194786185443538,0.0011950398486419499,0.4102969510270282,0.41029979339433914,-0.1143764919427389,-0.11424580999540068,-0.00664926840199198,-0.006617027704085695,0.000584589750845654,0.00058456153043227,0.0005862627333686479,0.00058623459832693,1.6729825230037254e-06,1.673067894669851e-06,0,10
CP_REPO_OPS_C,all_observations,367468,10,101.49941084786862,101.4999886244214,100.87996479236023,100.88077507091971,-0.6194460555083993,-0.6192135535016938,0.0,0.0,0.4080273656481653,0.40803100057913316,-0.41060542243413506,-0.41038719767094173,-0.06489885880359886,-0.06484738206368108,0.0006103665030754356,0.0006103379402907699,0.0005862627333686479,0.00058623459832693,-2.4103769706780567e-05,-2.4103341963832938e-05,0,10
CP_REPO_RIDGE_OPS_C,all_observations,367468,10,101.14937870607703,101.15004888366882,100.87996479236023,100.88077507091971,-0.26941391371680895,-0.26927381274911244,0.003571983479738975,0.0035727418420009303,0.41089836393917295,0.4109012474927146,-0.11680354487081238,-0.1166734046067149,-0.0026315516246706427,-0.0025970114278811253,0.0005846303603193144,0.00058460215267186,0.0005862627333686479,0.00058623459832693,1.6323730493235708e-06,1.6324456550599445e-06,1,9
CP_REPO_GATED_RIDGE_OPS_C,all_observations,367468,10,101.0390814503095,101.03978473238939,100.87996479236023,100.88077507091971,-0.15911665794926746,-0.15900966146970366,0.009367631785414086,0.00936962061276176,0.41809082695636085,0.4180941303457799,-0.07326667938054532,-0.07316903739389403,0.01047522685244122,0.010495501817386357,0.000585156401548103,0.0005851280965765,0.0005862627333686479,0.00058623459832693,1.1063318205380753e-06,1.1065017504231826e-06,1,9
CP_REPO_OPS_HG,all_observations,367468,10,101.02476144000293,101.02533102028409,100.87996479236023,100.88077507091971,-0.14479664764272057,-0.14455594936437,0.0,0.0,0.41184810650179066,0.4118555339339663,-0.022920446688325415,-0.022696339936253203,0.04021258178073374,0.04034150484181694,0.0005815484773129503,0.00058151974167098,0.0005862627333686479,0.00058623459832693,4.714256055691813e-06,4.714856655944221e-06,4,6
RANDOM_RESIDUES_PLACEBO_REPO,all_observations,367468,10,101.03436035942427,101.03501972413497,100.87996479236023,100.88077507091971,-0.15439556706402544,-0.15424465321525388,2.8415676542273425e-15,2.8421709430404013e-15,0.41810715490872674,0.4181129298640892,-0.012086864965946128,-0.011948633217782504,0.07432939465490854,0.07437917372702511,0.0005841595452578957,0.00058413068991379,0.0005862627333686479,0.00058623459832693,2.103188110761372e-06,2.1039084131492186e-06,2,8
SHUFFLED_LAG_PM_PLACEBO_REPO,all_observations,367468,10,101.08103862634427,101.08179078471258,100.87996479236023,100.88077507091971,-0.2010738339840448,-0.20101571379285432,0.0,0.0,0.4147490393721358,0.41475237716159263,-0.05239875339072621,-0.05234872300363509,0.04717403598082763,0.047193516192082986,0.0005849509407431576,0.00058492238923973,0.0005862627333686479,0.00058623459832693,1.3117926254879265e-06,1.312209087197679e-06,1,9
RANDOM_GATE_PLACEBO_REPO,all_observations,367468,10,101.07851220888105,101.07923523239543,100.87996479236023,100.88077507091971,-0.1985474165208279,-0.19846016147572632,0.0,0.0,0.4099431787257666,0.4099451040624785,-0.08406714534596382,-0.08398848450479135,0.005006706629996733,0.005017637842463301,0.0005858724152936803,0.0005858440330195,0.0005862627333686479,0.00058623459832693,3.9031807496659103e-07,3.90565307428993e-07,0,10
RIDGE_AR22,all_observations,367468,10,101.38297732533077,101.3838266741148,100.87996479236023,100.88077507091971,-0.5030125329705571,-0.5030516031950981,-0.02267619583548717,-0.022681010183387678,0.4091839289407513,0.4091833518478614,-0.5464431919666556,-0.546474326463645,-0.37422881617282033,-0.3742718915654737,0.0005922025879484042,0.0005921734477794701,0.0005862627333686479,0.00058623459832693,-5.939854579760288e-06,-5.9388494525441204e-06,2,8
CP_REPO_OPS_K,all_observations,367468,10,100.96533241845246,100.96608819521286,100.87996479236023,100.88077507091971,-0.08536762609221833,-0.08531312429315083,0.002479241554764177,0.0024797679186860902,0.41951408013759023,0.4195182162217158,-0.034804867998631125,-0.03476556246319104,0.016569032394348746,0.016582548388761532,0.0005863111871597646,0.00058628288210996,0.0005862627333686479,0.00058623459832693,-4.845379112309891e-08,-4.8283783036374504e-08,0,10
