model_name,condition,loss_variant,loss_metric,n_obs_total,n_assets,pooled_cp_loss,pooled_model_loss,pooled_advantage_cp_minus_model,assets_positive
HAR_RV,all_observations,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,280865,10,70.73471741592948,72.36671313374669,-1.6319957178171913,1
HAR_RV,all_observations,high_vol_actual_top_asset_quintile,SMAPE,73477,10,74.0098124350625,78.33293547033524,-4.323123035272721,0
HAR_RV,all_observations,high_vol_actual_top_asset_quintile,MAE,73477,10,0.001396707825014362,0.001445864149329506,-4.915632431514385e-05,0
HAR_RV,all_observations,high_vol_actual_top_asset_quintile,MSE,73477,10,9.90175140491125e-06,1.0150690785716009e-05,-2.489393808047604e-07,0
HAR_RV,all_observations,high_vol_actual_top_asset_quintile,RMSE,73477,10,0.0029481653737893888,0.0029837017466932698,-3.55363729038815e-05,0
HAR_RV,all_observations,high_vol_actual_top_asset_quintile,QLIKE,73477,10,577977.449553732,1.2709356863771901,577976.1786180456,9
HAR_RV,all_observations,high_vol_actual_top_asset_quintile,log_RV_MAE,73477,10,0.8560873034002608,0.8970856643666804,-0.04099836096641946,0
HAR_RV,all_observations,high_vol_actual_top_asset_quintile,log_RV_MSE,73477,10,1.2423106282398955,1.1531500187409507,0.08916060949894467,9
HAR_RV,all_observations,high_vol_actual_top_asset_quintile,winsorized_SMAPE_1_99,73477,10,73.9666730676769,78.30600829511374,-4.339335227436845,0
HAR_RV,cluster_entry_loose,standard,SMAPE,73457,10,93.56088920634404,92.95960192845736,0.6012872778866808,9
HAR_RV,cluster_entry_loose,standard,MAE,73457,10,0.000756508551880488,0.0007390380835995428,1.7470468280945207e-05,9
HAR_RV,cluster_entry_loose,standard,MSE,73457,10,2.4613245517090537e-06,2.5071466797422487e-06,-4.582212803319438e-08,2
HAR_RV,cluster_entry_loose,standard,RMSE,73457,10,0.001448336060657774,0.001460552259221886,-1.221619856411242e-05,2
HAR_RV,cluster_entry_loose,standard,QLIKE,73457,10,175829.54926030466,3.397478265935601,175826.15178203877,8
