condition,n_obs_total,n_assets,mean_real_gate,mean_random_gate,raw_PM_advantage,gated_OPS_C_advantage,OPS_HG_advantage
cluster_entry_loose,73457,10,0.7361936624071678,0.44754923793705115,-0.47791792696100044,-0.16495133708361467,0.19206121948274862
recent_spike_position,125358,10,0.6379244616408696,0.4469766049966393,-0.3045301884808665,0.007786401770370909,0.22966057693368883
cluster_exit_loose,73455,10,0.17941802974248428,0.44709925511123705,-2.0953880330946353,-0.27157711022520875,-0.5300259063745332
older_spike_position,108871,10,0.28924149978566627,0.4458453669389733,-1.4463121295346224,-0.16639037584035068,-0.28083906312210066
high_within_block_dispersion,68970,10,0.4378890106651318,0.4459395199818949,-2.7207690592799065,-0.02939111437189265,0.5603821174030628
entry_with_recent_spike,43747,10,0.7873513238961249,0.4473107454030243,0.034160605889533895,0.1444366313795303,0.585651556762214
stable_low_dispersion,68968,10,0.4074169818583831,0.4449450013400193,-0.10587610828687649,-0.20212227546122685,-0.48082785865247274
all_observations,367248,10,0.44660517873793293,0.44658626954913955,-1.0239486784136425,-0.15419843567742,-0.13663518049730683
