asset,model_name,strategy,coverage,n_active,mean_advantage_active_rows,mean_advantage_overall,win_rate_overall,false_positive_loss_mean_active_negative_advantage_abs,false_negative_cost_mean_inactive_positive_advantage
AAPL,RAW_PM,top_5pct_gate,0.050001360951577346,1837,-1.7645627859730373,-0.08823054078315874,0.02310895778328207,17.92142272200379,11.476464283262496
AAPL,RAW_PM,top_10pct_gate,0.10000272190315469,3674,-1.3981390252134536,-0.13981770812036876,0.04670785813440758,16.037693165736503,11.439966989815643
AAPL,RAW_PM,top_20pct_gate,0.20000544380630939,7348,-0.8563862493914923,-0.17128191187916617,0.09371512561583059,13.697823213491464,11.48251179730703
AAPL,RAW_PM,top_30pct_gate,0.30000816570946404,11022,-0.7457204139825448,-0.22372221353100546,0.14028688859250388,12.81680059271225,11.641842068931647
AAPL,RAW_PM,condition_entry_with_recent_spike,0.12115190941506301,4451,-0.9669734032403868,-0.11715067415615457,0.05868423201502491,20.635730067500305,10.614482688219855
AAPL,RAW_PM,condition_cluster_entry_loose,0.19989656768012193,7344,-1.1154037557369285,-0.2229653823493291,0.09431394430986145,17.801879524763102,10.459120620343887
AAPL,RAW_CP_REPO_PLUS_PM,top_5pct_gate,0.050001360951577346,1837,1.0267080724057158,0.0513368009202564,0.026592993821279838,4.652630114520574,5.053453442448582
AAPL,RAW_CP_REPO_PLUS_PM,top_10pct_gate,0.10000272190315469,3674,0.6134208913327911,0.06134375880553838,0.05106290318190479,3.9976712308264344,5.14062366394784
AAPL,RAW_CP_REPO_PLUS_PM,top_20pct_gate,0.20000544380630939,7348,0.3732029052639843,0.0746426126971272,0.10098260703884156,3.731624691411859,5.371220818424212
AAPL,RAW_CP_REPO_PLUS_PM,top_30pct_gate,0.30000816570946404,11022,0.2500826557709116,0.07502683883358251,0.14747271292087427,3.764930209930277,5.565272547331705
AAPL,RAW_CP_REPO_PLUS_PM,condition_entry_with_recent_spike,0.12115190941506301,4451,0.5934522257334506,0.07189787029422652,0.06295761996788155,4.54660935717618,5.097356078971727
AAPL,RAW_CP_REPO_PLUS_PM,condition_cluster_entry_loose,0.19989656768012193,7344,0.28429230048163906,0.05682905508416552,0.09967609352459239,4.990093742479207,5.0612922832146445
AAPL,CP_REPO_OPS_C,top_5pct_gate,0.050001360951577346,1837,0.8531698435362791,0.04265965329965827,0.026184708348076974,7.057211845908318,7.318988267934005
AAPL,CP_REPO_OPS_C,top_10pct_gate,0.10000272190315469,3674,0.5281644378350493,0.052817881395954475,0.05046408448787392,5.931329825488417,7.451817249238751
AAPL,CP_REPO_OPS_C,top_20pct_gate,0.20000544380630939,7348,0.15151496242104595,0.030303817302317588,0.0964642478020632,5.483681615737795,7.76079566040216
AAPL,CP_REPO_OPS_C,top_30pct_gate,0.30000816570946404,11022,-0.07719747003277713,-0.023159871381944804,0.14189281145376847,5.5516504618442495,8.138854779947915
AAPL,CP_REPO_OPS_C,condition_entry_with_recent_spike,0.12115190941506301,4451,0.09769079885745915,0.011835426813864023,0.05931026974060263,7.331191346432311,7.3352410416604705
AAPL,CP_REPO_OPS_C,condition_cluster_entry_loose,0.19989656768012193,7344,-0.031627640160511165,-0.006322256711908174,0.09779798034785922,7.651115373402877,7.3350983614587495
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_5pct_gate,0.050001360951577346,1837,0.4177448339907649,0.020887810230028992,0.024524347423718663,8.035576430681472,5.796949773999616
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_10pct_gate,0.10000272190315469,3674,0.16311654260411357,0.01631209824784325,0.04760608617545388,8.422074916586386,5.618662352246037
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_20pct_gate,0.20000544380630939,7348,-0.1685616530557179,-0.033713248228134006,0.09289855466942486,8.680982573159032,5.238363198205467
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_30pct_gate,0.30000816570946404,11022,-0.2836413372927749,-0.08509471732058481,0.13742889028008384,8.547308408522653,4.832439584213
AAPL,CP_REPO_GATED_RIDGE_OPS_C,condition_entry_with_recent_spike,0.12115190941506301,4451,-0.13059200646143046,-0.015821470937146555,0.05854813685729062,8.989371804637349,5.554966439471402
AAPL,CP_REPO_GATED_RIDGE_OPS_C,condition_cluster_entry_loose,0.19989656768012193,7344,-0.32391800638346896,-0.06475009768584328,0.09567489588720433,9.646372993517527,5.16294432226355
AAPL,CP_REPO_OPS_HG,top_5pct_gate,0.050001360951577346,1837,0.8063145334509737,0.040316824027584824,0.024633223549906096,10.795010531598606,7.245895661544804
AAPL,CP_REPO_OPS_HG,top_10pct_gate,0.10000272190315469,3674,0.33719154230331017,0.033720072033053744,0.04801437164865674,11.109968368874195,7.011101284031948
AAPL,CP_REPO_OPS_HG,top_20pct_gate,0.20000544380630939,7348,-0.13153031396823617,-0.026306778819200304,0.09276245951169057,10.916369382287305,6.558631917646724
AAPL,CP_REPO_OPS_HG,top_30pct_gate,0.30000816570946404,11022,-0.3200341166519351,-0.09601284830119569,0.13707504286997468,10.658443040922982,6.077466702881977
AAPL,CP_REPO_OPS_HG,condition_entry_with_recent_spike,0.12115190941506301,4451,0.06436685507525548,0.007798167395409849,0.05966411715071178,11.171872433913105,7.005380575985352
AAPL,CP_REPO_OPS_HG,condition_cluster_entry_loose,0.19989656768012193,7344,-0.25902757042517016,-0.05177872226251256,0.09709028552764093,12.284054364545065,6.464739323399068
AMZN,RAW_PM,top_5pct_gate,0.050001360951577346,1837,-2.4147864301519673,-0.12074260791499943,0.02275511037317292,18.703498915469766,11.701257076454606
AMZN,RAW_PM,top_10pct_gate,0.10000272190315469,3674,-2.0168519097794784,-0.20169068065352355,0.046381229755845285,16.93260942646804,11.705505563822426
AMZN,RAW_PM,top_20pct_gate,0.20000544380630939,7348,-1.3784737051562592,-0.2757022451751052,0.09474944881461117,14.689147246819273,11.830620090843574
AMZN,RAW_PM,top_30pct_gate,0.30000816570946404,11022,-1.1581603789751784,-0.347457570893721,0.14178393532758105,13.45656555364279,12.183301434780349
AMZN,RAW_PM,condition_entry_with_recent_spike,0.12009036718473556,4412,-1.756449864976467,-0.21093270922660318,0.05677889980674487,21.378005473407757,10.935896486037278
AMZN,RAW_PM,condition_cluster_entry_loose,0.19989656768012193,7344,-1.564145018479371,-0.3126672205479872,0.09251748822776885,18.40299814769644,10.739704870600608
AMZN,RAW_CP_REPO_PLUS_PM,top_5pct_gate,0.050001360951577346,1837,1.3269011293916149,0.06634686231776579,0.025613108685592967,6.049072585179893,7.043326892067786
AMZN,RAW_CP_REPO_PLUS_PM,top_10pct_gate,0.10000272190315469,3674,0.88903434579007,0.08890585444439744,0.05114456027654536,5.448238494541596,7.176032862711079
AMZN,RAW_CP_REPO_PLUS_PM,top_20pct_gate,0.20000544380630939,7348,0.36695569617426343,0.07339313687058678,0.09850567516807752,5.157015943657011,7.5047087286009235
AMZN,RAW_CP_REPO_PLUS_PM,top_30pct_gate,0.30000816570946404,11022,0.23970375008732836,0.07191308237737917,0.1443697433245325,5.14733109051652,7.8165816290865635
AMZN,RAW_CP_REPO_PLUS_PM,condition_entry_with_recent_spike,0.12009036718473556,4412,0.7832526260189642,0.09406109545702579,0.061596668390538664,6.0837516870412305,7.137689610625483
AMZN,RAW_CP_REPO_PLUS_PM,condition_cluster_entry_loose,0.19989656768012193,7344,0.3902857324114838,0.07801677832357813,0.09815182775796837,6.626617241700981,7.1132143136466395
AMZN,CP_REPO_OPS_C,top_5pct_gate,0.050001360951577346,1837,0.6577365168626267,0.032887720990681435,0.024959851928468384,4.78640213916025,7.161328918901339
AMZN,CP_REPO_OPS_C,top_10pct_gate,0.10000272190315469,3674,0.43758049336029714,0.04375924038775503,0.049729170636108766,4.507534710155621,7.342071391687447
AMZN,CP_REPO_OPS_C,top_20pct_gate,0.20000544380630939,7348,0.11657569804520826,0.02331577422456219,0.09504885816162661,4.385706272643949,7.72164093780269
AMZN,CP_REPO_OPS_C,top_30pct_gate,0.30000816570946404,11022,-0.0016424341077747578,-0.0004927436439721807,0.14009635537167586,4.5483365552436545,8.141734369171418
AMZN,CP_REPO_OPS_C,condition_entry_with_recent_spike,0.12009036718473556,4412,0.4307225610525406,0.05172563051154927,0.06094341163341408,5.380936735224085,7.307786825220388
AMZN,CP_REPO_OPS_C,condition_cluster_entry_loose,0.19989656768012193,7344,0.31830255171032296,0.0636275875707181,0.09888674160973353,5.924218340634199,7.3522504430801385
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_5pct_gate,0.050001360951577346,1837,0.892691425413132,0.044635786180460095,0.02523204224393696,6.5346715693779736,5.667093671918185
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_10pct_gate,0.10000272190315469,3674,0.7394968516943609,0.07395169800824959,0.049647513541468194,7.0782969350008065,5.516254890688755
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_20pct_gate,0.20000544380630939,7348,0.15650789402594276,0.031302430803849514,0.09385122077356488,7.522150877307584,5.184000813341104
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_30pct_gate,0.30000816570946404,11022,0.16085613683163086,0.048258154553968126,0.14025966956095703,7.395347005776878,4.812200110638343
AMZN,CP_REPO_GATED_RIDGE_OPS_C,condition_entry_with_recent_spike,0.12009036718473556,4412,0.5686039397479569,0.06828385590701938,0.06061678325485179,7.337435241953566,5.484720452954591
AMZN,CP_REPO_GATED_RIDGE_OPS_C,condition_cluster_entry_loose,0.19989656768012193,7344,0.4031598057271469,0.08059026139144142,0.09738969487465636,7.837817650494702,5.106432926517787
AMZN,CP_REPO_OPS_HG,top_5pct_gate,0.050001360951577346,1837,1.5384235593194011,0.07692327168593972,0.025368137401671247,8.478874794912072,6.917658776783064
