model_name,condition,n_obs_total,n_assets,corr_cp_residual_delta_equal_weight,mean_delta_pooled,std_delta_equal_weight,mean_2e_delta_pooled,mean_delta_squared_pooled,ratio_2Eedelta_over_Edelta2_pooled,actual_smape_advantage_pooled,win_rate_vs_cp_pooled,assets_positive_smape_advantage
HAR_RV,all_rows,367468,10,0.0026159944923171132,2.622783717637507e-07,0.00019567072311127578,3.6167628155087256e-11,4.589165790881751e-08,0.0007881089898070146,-1.290129217040266,0.3814944430535448,1
HAR_RV,all_observations,367248,10,0.002635674692567992,1.6175146388410482e-07,0.00019555738399175954,7.881684995261837e-11,4.583572259626031e-08,0.0017195507235016067,-1.2877565807074727,0.3815759377859103,1
HAR_RV,cluster_entry_loose,73457,10,0.0579539776285435,-7.239354718247565e-05,0.00025583960450417724,3.899192317884632e-08,8.481405121204062e-08,0.4597342376838478,0.6012872778866823,0.45061736798399066,9
HAR_RV,cluster_entry_strict,73266,10,0.05830904240173388,-7.290533651708715e-05,0.0002558983775880429,3.91837205861951e-08,8.495648152536158e-08,0.46122108499158837,0.6065254500049146,0.451027761854066,9
HAR_RV,cluster_exit_loose,73455,10,-0.023050915337821463,-2.4877307965145792e-05,0.0002164279537626061,-1.919175228762327e-08,5.758404482205862e-08,-0.333282462996964,-1.3306883197220516,0.3969777414743721,0
HAR_RV,cluster_exit_strict,73334,10,-0.023050193639403915,-2.5094342785772268e-05,0.00021647136877875274,-1.9201971639397964e-08,5.763415632524249e-08,-0.3331699961223849,-1.3304030896796948,0.3972236616030763,0
HAR_RV,inflection_points,144886,10,0.019971148799803117,-3.443973729733806e-05,0.00021515732361152457,1.0935379766983417e-08,5.891707556227978e-08,0.18560628922295877,-0.5400363157385886,0.4302210013389838,1
HAR_RV,high_within_block_dispersion,68970,10,0.14366469663094245,5.086749792852347e-05,0.0002414511467421017,6.080397922192304e-08,7.64261571494392e-08,0.7955912149688558,-1.0311917179930232,0.3380745251558649,3
HAR_RV,recent_spike_position,125358,10,0.03726907547487466,-4.655377315836274e-06,0.00021506660633676235,1.9328117801543248e-08,5.099146580604813e-08,0.3790461304850493,-0.46679533981537225,0.3727324941367922,4
HAR_RV,older_spike_position,108871,10,-0.03003761562040706,3.0228670134142054e-06,0.00018150006003026867,-1.8681787307187966e-08,4.11277714627268e-08,-0.4542377727448438,-1.7738166133658597,0.3786315915165655,1
HAR_RV,same_average_different_path,7396,10,0.06844091039101591,3.090952674866438e-05,0.0001140649674837233,1.1802023029384381e-08,1.668349827828882e-08,0.707406973796558,-0.7594169353034766,0.3505949161709032,2
HAR_RV,recent_ramp_high_dispersion,24273,10,0.1734830024753664,-6.306313894532469e-05,0.0003211824422144391,1.9516790414592963e-07,1.2981234470992444e-07,1.503461820846447,2.848295416862323,0.4355456680262019,10
HAR_RV,entry_with_recent_spike,43747,10,0.08074337623369585,-8.144505288326918e-05,0.000272267595958791,6.302172410535889e-08,9.724101451505518e-08,0.6480981756479068,1.3588599914074337,0.4631403296226027,9
HAR_RV,entry_without_recent_spike,29710,10,0.013105675998388685,-5.906550208343107e-05,0.00022634097470528125,3.608829906138651e-09,6.651575556690504e-08,0.054255264416393806,-0.5142136813321776,0.4321777179400875,0
HAR_RV,same_average_recent_front_loaded,14331,10,0.07107887816759362,1.3553600831999758e-05,0.0001256958652898922,3.593596113284407e-08,1.949581287214908e-08,1.8432655959773143,0.31728114508669314,0.4456772032656479,9
HAR_RV,same_average_back_loaded,15559,10,-0.0015451179352512835,1.5486651800747982e-05,0.00011738987500495179,-5.320888324077285e-09,1.62275214860792e-08,-0.32789285342446256,-0.687645225880142,0.35439295584549135,1
HAR_RV,stable_low_dispersion,68968,10,-0.009323400484015311,-5.467684063438008e-05,0.00018657228485425965,-2.549766813322393e-08,4.9919806455729174e-08,-0.5107725759280789,-1.1529842249588211,0.44872984572555386,0
