asset,model_name,condition,loss_variant,loss_metric,n_obs,cp_loss,model_loss,advantage_cp_minus_model
AAPL,HAR_RV,all_rows,standard,SMAPE,36739,87.85136577294423,89.93133067764445,-2.079964904700219
AAPL,HAR_RV,all_rows,standard,MAE,36739,0.0007906026158025994,0.0008141370506963244,-2.353443489372495e-05
AAPL,HAR_RV,all_rows,standard,MSE,36739,3.3655442862066135e-06,3.4348147759314373e-06,-6.927048972482379e-08
AAPL,HAR_RV,all_rows,standard,RMSE,36739,0.0018345419826775874,0.0018533253292208137,-1.878334654322627e-05
AAPL,HAR_RV,all_rows,standard,QLIKE,36739,233527.97544587782,2.266647117171738,233525.70879876064
AAPL,HAR_RV,all_rows,standard,log_RV_MAE,36739,2.6451237043202234,2.6771597177000754,-0.03203601337985207
AAPL,HAR_RV,all_rows,standard,log_RV_MSE,36739,37.72938282307022,38.05561751821357,-0.3262346951433557
AAPL,HAR_RV,all_rows,standard,winsorized_SMAPE_1_99,36739,87.85777431298169,89.93880890486278,-2.0810345918810924
AAPL,HAR_RV,all_rows,excluding_near_zero_actual_bottom_asset_decile,SMAPE,33065,75.5811189525204,77.87955718207802,-2.2984382295576182
AAPL,HAR_RV,all_rows,excluding_near_zero_actual_bottom_asset_decile,MAE,33065,0.0007960507057929003,0.0008160227027739878,-1.997199698108745e-05
AAPL,HAR_RV,all_rows,excluding_near_zero_actual_bottom_asset_decile,MSE,33065,3.6660921070074977e-06,3.738192152853631e-06,-7.210004584613315e-08
AAPL,HAR_RV,all_rows,excluding_near_zero_actual_bottom_asset_decile,RMSE,33065,0.0019147041826369675,0.0019334404963312502,-1.8736313694282672e-05
AAPL,HAR_RV,all_rows,excluding_near_zero_actual_bottom_asset_decile,QLIKE,33065,259474.39568427167,0.5893124377343766,259473.80637183393
AAPL,HAR_RV,all_rows,excluding_near_zero_actual_bottom_asset_decile,log_RV_MAE,33065,0.9110923538730649,0.9347915376546583,-0.023699183781593414
AAPL,HAR_RV,all_rows,excluding_near_zero_actual_bottom_asset_decile,log_RV_MSE,33065,1.535975952410984,1.432726983049404,0.1032489693615799
AAPL,HAR_RV,all_rows,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,33065,75.53905780119348,77.84669250419125,-2.307634702997774
AAPL,HAR_RV,all_rows,high_vol_actual_top_asset_quintile,SMAPE,7348,74.80444856434387,79.22781878125897,-4.423370216915103
