model_name,strategy,mean_coverage_equal_weight,n_active_total,mean_advantage_active_rows_weighted,mean_advantage_overall_equal_weight,win_rate_overall_equal_weight,false_positive_loss_mean_equal_weight,false_negative_cost_mean_equal_weight,assets_positive_overall
RAW_PM,top_5pct_gate,0.05000163227690472,18374,0.13227357514379814,0.006583638577416259,0.021680495067555806,15.564278519810426,11.040093495520482,5
RAW_PM,top_10pct_gate,0.10000326455380944,36748,-0.19669246709231467,-0.01970759762166205,0.04254742942122753,14.1657531469459,11.055773758613611,4
RAW_PM,top_20pct_gate,0.20000652910761887,73496,-0.2934472494474984,-0.058742838661859406,0.08582741408606788,12.553689650438146,11.205065134577106,4
RAW_PM,top_30pct_gate,0.3000070775248609,110243,-0.21673765963728184,-0.06510499250306266,0.12914784670346416,11.682948935547993,11.464853163984687,4
RAW_PM,condition_entry_with_recent_spike,0.11904923993040903,43747,0.034160605889533895,0.003999665643767927,0.05514443766115519,18.562010944696606,10.299192143673139,5
RAW_PM,condition_cluster_entry_loose,0.19990040371752277,73457,-0.47791792696100044,-0.09559586519235991,0.08894128282820304,16.458025765769722,10.060091263545306,3
RAW_CP_REPO_PLUS_PM,top_5pct_gate,0.05000163227690472,18374,1.5132568775122828,0.07564763151043616,0.023201946665627714,5.934702706101365,5.6792318059350695,9
RAW_CP_REPO_PLUS_PM,top_10pct_gate,0.10000326455380944,36748,0.8786548779668183,0.08785147489074024,0.04475751675084759,4.983900514854933,5.770797881935412,9
RAW_CP_REPO_PLUS_PM,top_20pct_gate,0.20000652910761887,73496,0.45238566182893647,0.090451905794201,0.08741926610457192,4.442403222670338,6.009751855743555,9
RAW_CP_REPO_PLUS_PM,top_30pct_gate,0.3000070775248609,110243,0.30177970520763164,0.09050490556152302,0.129333161014889,4.346143923963284,6.253707909172006,9
RAW_CP_REPO_PLUS_PM,condition_entry_with_recent_spike,0.11904923993040903,43747,0.6678180782627964,0.07949623206197469,0.05579573947124119,5.747660464441411,5.679164096403576,9
RAW_CP_REPO_PLUS_PM,condition_cluster_entry_loose,0.19990040371752277,73457,0.24631533175452244,0.049242022913398416,0.08994344488222593,5.9315568299980885,5.649699920901547,9
CP_REPO_OPS_C,top_5pct_gate,0.05000163227690472,18374,0.7278375570611492,0.036394846966907375,0.02235289741216061,6.979927129884048,6.548445366819787,7
CP_REPO_OPS_C,top_10pct_gate,0.10000326455380944,36748,0.3293859099219706,0.03294936964975332,0.04294241677437328,5.7483523027358485,6.674658734490319,7
CP_REPO_OPS_C,top_20pct_gate,0.20000652910761887,73496,0.03163646526475959,0.006344441593678531,0.08449700893509715,5.195549096645236,6.984855584934236,5
CP_REPO_OPS_C,top_30pct_gate,0.3000070775248609,110243,-0.0857398537901361,-0.02569867223360961,0.12600004063374018,5.137443356248515,7.333337013769532,3
CP_REPO_OPS_C,condition_entry_with_recent_spike,0.11904923993040903,43747,0.14248473095149397,0.016972672030937264,0.054592698642981455,6.915894220287321,6.568674734464983,7
CP_REPO_OPS_C,condition_cluster_entry_loose,0.19990040371752277,73457,-0.14610460277261045,-0.029178790800653637,0.08885503538217931,7.258413053400512,6.506703994934007,3
CP_REPO_GATED_RIDGE_OPS_C,top_5pct_gate,0.05000163227690472,18374,0.42284853030046177,0.021138028635253624,0.021479402929587388,7.641429758174938,5.473307991039982,9
CP_REPO_GATED_RIDGE_OPS_C,top_10pct_gate,0.10000326455380944,36748,0.16372888826012733,0.016373814403186575,0.041486469616221336,7.591634703735721,5.362318488077983,8
CP_REPO_GATED_RIDGE_OPS_C,top_20pct_gate,0.20000652910761887,73496,-0.04586881958382117,-0.009174737459332349,0.08239052115638798,7.7329318695980405,5.0631956919193595,3
CP_REPO_GATED_RIDGE_OPS_C,top_30pct_gate,0.3000070775248609,110243,-0.12281171031136028,-0.03684259040861509,0.1230498897419999,7.4876896777795094,4.769890839475208,2
CP_REPO_GATED_RIDGE_OPS_C,condition_entry_with_recent_spike,0.11904923993040903,43747,0.1444366313795303,0.017195417187830752,0.053934280642327116,8.122151243348315,5.223408739353385,6
CP_REPO_GATED_RIDGE_OPS_C,condition_cluster_entry_loose,0.19990040371752277,73457,-0.16495133708361467,-0.03295396511418527,0.08794344002202782,8.721741369068784,4.815850631800652,3
CP_REPO_OPS_HG,top_5pct_gate,0.05000163227690472,18374,2.245928068846849,0.11228236208314468,0.022859067600360057,12.703970105069976,7.461461464342262,9
CP_REPO_OPS_HG,top_10pct_gate,0.10000326455380944,36748,1.1362221247775761,0.11361966241138335,0.043307088364640436,11.341717353331372,7.302660221351116,9
CP_REPO_OPS_HG,top_20pct_gate,0.20000652910761887,73496,0.3646201029319603,0.07292802907307096,0.0835172852638558,10.628131508886408,6.9368328177617995,8
CP_REPO_OPS_HG,top_30pct_gate,0.3000070775248609,110243,0.04892057699983845,0.014691322794529357,0.12285985244768305,10.217291247901395,6.530265338417237,6
CP_REPO_OPS_HG,condition_entry_with_recent_spike,0.11904923993040903,43747,0.585651556762214,0.06972751036363231,0.05497685028279451,11.739483026592962,7.217486943009677,9
CP_REPO_OPS_HG,condition_cluster_entry_loose,0.19990040371752277,73457,0.19206121948274862,0.038422253247479596,0.09024076665069398,12.319089776057691,6.606464721373932,6
