model_name,family,tau,kappa,gamma,intercept,alpha,clip,tail_rule,selection_score,pooled_min_normalized_gain,worst_fold_metric_normalized_gain,positive_fold_metric_count,fold_metric_count,pooled_smape_gain,pooled_mae_gain,pooled_mse_gain,pooled_smape_normalized_gain,pooled_mae_normalized_gain,pooled_mse_normalized_gain
PM_CAST_D,pm,0.5,0.12,-1.0,0.02,0.75,0.1,none,0.002671996661237225,0.0030270346245540977,-0.0036912743083439173,11,12,0.30098045983532984,1.4921869440404426e-05,1.0181996395197453e-08,0.0030270346245540977,0.026479881530202504,0.009379922722635327
PM_CAST_D,pm,0.5,0.12,-1.0,0.0,0.75,0.1,none,0.002663361883867238,0.0030824606293891467,-0.004687525907176365,11,12,0.30649151157116705,1.5617829001744526e-05,1.011220534369297e-08,0.0030824606293891467,0.02771490954111627,0.009315629371465777
PM_CAST_D,pm,1.0,0.12,-1.0,0.0,0.75,0.1,none,0.00265223757251225,0.003059875954542836,-0.003961852456360251,11,12,0.30424589939173075,1.5193750844694296e-05,9.880880688332003e-09,0.003059875954542836,0.026962353743527654,0.009102527018360493
PM_CAST_D,pm,1.0,0.12,-1.0,0.0,0.5,0.1,none,0.0026432877288353864,0.0030236860441727738,-0.003925402832213559,11,12,0.3006475078252038,1.4756889035714288e-05,9.368842541815549e-09,0.0030236860441727738,0.026187112478144554,0.008630824018383873
PM_CAST_D,pm,0.5,0.07,-1.0,0.02,0.75,0.1,none,0.0026330130459535383,0.0031523609202470035,-0.005893701247930554,11,12,0.3134417530762903,1.5875315682286348e-05,9.696993570305257e-09,0.0031523609202470035,0.028171837329124563,0.008933125371587905
PM_CAST_D,pm,1.0,0.12,-1.0,-0.02,0.5,0.1,none,0.0026207530336497583,0.0030941332232150374,-0.00537974981271836,11,12,0.3076521268573913,1.56856512411427e-05,9.553843462441284e-09,0.0030941332232150374,0.027835264760115427,0.008801251729388001
PM_CAST_D,pm,1.0,0.12,-1.0,-0.02,0.75,0.1,none,0.002618660341820498,0.003090066788784484,-0.005139332321534539,11,12,0.3072477980483086,1.5851197427927516e-05,1.0030312853418475e-08,0.003090066788784484,0.02812903783133457,0.009240187856803563
PM_CAST_D,pm,0.5,0.12,-1.0,0.0,0.5,0.1,none,0.0026109865056622526,0.002989580815936074,-0.00439284528820607,11,12,0.2972563978609486,1.5181736244394188e-05,1.0094902328340729e-08,0.002989580815936074,0.02694103301063623,0.009299689378897214
PM_CAST_D,pm,1.0,0.12,-1.0,0.02,0.75,0.1,none,0.00260609551285617,0.002972864068295963,-0.0028127731999493598,11,12,0.29559423834983534,1.4409317219406725e-05,9.645439406416846e-09,0.002972864068295963,0.02557032243345079,0.008885632320664074
PM_CAST_D,pm,0.5,0.07,-1.0,0.0,0.75,0.1,none,0.0025969680372588348,0.0032080055240584727,-0.0069785188702618335,10,12,0.3189745402821842,1.6470004016454253e-05,9.684973668478513e-09,0.0032080055240584727,0.02922715259636046,0.008922052322070651
PM_CAST_D,pm,0.1,0.12,-1.0,0.02,0.75,0.1,none,0.0025867031500072034,0.0029674711596819467,-0.004554940888712342,11,12,0.2950580171578707,1.512583511128476e-05,9.771270675418423e-09,0.0029674711596819467,0.02684183261298809,0.009001551393261923
