asset,origin,Date,Actual,Predicted_CP_REPO_FRESH,Predicted_FULL_SMAPE_ACTION,Predicted_FULL_MEAN_ACTION,Predicted_FULL_MEDIAN_ACTION,Predicted_NO_Q_SMAPE_ACTION,selected_bandwidth,full_effective_neighbors,no_q_effective_neighbors,mean_quotient_distance_share
AAPL,2182,2023-09-15 16:00:00,0.00021894115458008018,0.00076745983262,0.0005538461507725958,0.0008657930540811351,0.0004992926790918903,0.0005523946447707564,2.0,1260.4443704607756,1306.7321446916044,0.09697656963333695
AAPL,2431,2023-09-21 10:45:00,0.0004583476647218247,0.0004752877982844,0.0006623979045469988,0.000720341137911354,0.0006311139370097537,0.0006623979045469988,2.0,9.843696351411392,10.021983956714829,0.02930382136148432
AAPL,2644,2023-09-25 15:30:00,0.001077171584577754,0.0011531268290825,0.0008566533933363303,0.0010668084684279744,0.0007510197435823469,0.0008566533933363303,2.0,824.9177155948549,839.6882569269825,0.03120582906259002
AAPL,2684,2023-09-26 12:20:00,0.0007413110139045113,0.0006038034805071,0.0004522584734218898,0.0006089931235988842,0.00039179470458922203,0.0004522584734218898,2.0,835.6843532295075,814.9374142487516,0.2355020957721411
AAPL,3323,2023-10-06 13:35:00,0.0019497654989768928,0.0012154429361577,0.0008049734623530951,0.0009929013812481876,0.0006897832762290121,0.0007916032755373177,2.0,480.50974716959644,483.4170637659615,0.07297450427235505
AAPL,3426,2023-10-09 15:40:00,0.0002257846024495193,0.0011382458043699,0.0008549834101366559,0.0010617004767569792,0.0007534586805387678,0.0008519097490949741,2.0,1014.796671826351,1046.1463067100221,0.03999809453153582
AAPL,4795,2023-11-02 12:45:00,5.6713455282587466e-05,0.0008710712257271,0.000682555057498493,0.0009565010706571948,0.0005795085929451952,0.0006727588973821047,2.0,1276.0595685339604,1325.5857662979506,0.11486970700402446
AAPL,4890,2023-11-03 14:10:00,0.0008000914817030217,0.001674276149885,0.0013130478865363794,0.0015905150365723535,0.0012690544297654068,0.0013130478865363794,2.0,20.08345223523042,20.63686197452921,0.006846458837581437
AAPL,5082,2023-11-08 10:40:00,0.0,0.0007494699668202,0.0006637535505597215,0.0009261487458651946,0.0005702880108938365,0.0006360403810943803,2.0,1408.677541074848,1440.3681335724425,0.23276446330045963
AAPL,5339,2023-11-13 12:35:00,0.000644572187542181,0.0005646468095611,0.0005499037806979876,0.0007952296319949062,0.00047289709458467224,0.0005483959556137369,2.0,1025.1727169130997,1047.8216827372285,0.18264797335020688
AAPL,5360,2023-11-13 14:20:00,0.00016162486903159804,0.0006067559964056,0.0006042281307146709,0.0008617069954268944,0.0005193156690382218,0.000586510280742717,2.0,1161.5006709788574,1207.810899393186,0.11601461343778097
AAPL,5380,2023-11-13 16:00:00,0.0012989474940885261,0.0007839576975735,0.0006797326646673552,0.0009940079751195644,0.0005777007670776727,0.0006635604588358076,2.0,1417.7134576219091,1481.5288267209935,0.17639220708629813
AAPL,5985,2023-11-24 14:25:00,0.0003147128271451326,0.0006320752476749,0.0004534119325012205,0.000632563483395654,0.0003838876901458828,0.0004389574830427448,2.0,1112.5688610990019,1134.8051225393372,0.269320497897765
AAPL,6050,2023-11-27 13:20:00,0.00021060390748075107,0.0005347791388359,0.0003681981999885674,0.000454659458219855,0.00028062298486374043,0.0003465403754211793,2.0,831.1998308317434,814.8627123126336,0.21398425864671267
AAPL,6053,2023-11-27 13:35:00,0.0004214297064954684,0.0004773554842001,0.00040402874925529893,0.0005445556417356744,0.0003293446072145501,0.0003971293275466135,2.0,1061.178705818798,1055.8866021628264,0.26644649783861984
AAPL,6204,2023-11-29 13:10:00,0.0003670975734121203,0.0005912159254416,0.00039600600183757075,0.000506080282051004,0.0003140867952324332,0.000371599207991909,2.0,1050.9380761499754,1058.5897653607856,0.27082951324868243
AAPL,6370,2023-12-01 14:00:00,0.00042198544776435234,0.0006170785378742,0.0004534119325012206,0.0006332372371219654,0.00037594994937816564,0.0004302000496548921,2.0,1143.052793449211,1195.644468184808,0.27900231074515586
AAPL,7068,2023-12-14 13:40:00,0.0002019895982225584,0.0005604140830494,0.0004221413180731658,0.0006115464338799961,0.0003619722355110601,0.00042114129912827856,2.0,1114.6744731429621,1194.6330186471732,0.23824290970602746
AAPL,7285,2023-12-19 12:15:00,0.001121819504727481,0.000482595547685,0.0002702337538401868,0.00036563557098928646,0.0002107814730888771,0.0002702337538401868,2.0,794.9437134001815,866.9244069997818,0.33369529802174186
AAPL,7849,2023-12-29 13:45:00,0.0006177431824740806,0.0004422749408815,0.00036146756222245433,0.0004673970444855776,0.00025803122320952073,0.0003570790968132168,2.0,1440.0540437994107,1474.9460113916784,0.38504500309823836
AAPL,8602,2024-01-16 11:30:00,0.0002190340606720018,0.0013373163382622,0.000510464533800054,0.0007436297993750536,0.00032972468287957167,0.0005109078944220146,2.0,110.90964238595453,102.33302614896432,0.06605768706743899
AAPL,8934,2024-01-22 13:10:00,0.000884058405429549,0.0007312129937377,0.00048091053319383563,0.0007060415752690764,0.0003963378435617511,0.0004635471742244591,2.0,1187.0344494832875,1249.6339881337772,0.21919342015198434
AAPL,9016,2024-01-23 13:30:00,0.0002646124534867348,0.0008345002436252,0.0005559847060637038,0.0008581841323136321,0.0004659470457833941,0.0005480953823151331,2.0,1269.885772227466,1357.4049303108907,0.18188947942269867
AAPL,9113,2024-01-24 15:05:00,0.0006404190858500851,0.0006325911047662,0.0005126890653187235,0.000768127372395118,0.0004215851664466653,0.0005098659163124504,2.0,1267.499574799121,1345.5943402865746,0.1252363489718675
AAPL,9129,2024-01-25 09:55:00,0.00030991735785258827,0.0006541581030495,0.0006673511541309019,0.0007841533564872332,0.00037838860961217217,0.0006676081901575239,2.0,63.13978311463828,68.74059669363123,0.03988457931617671
AAPL,9544,2024-02-01 12:00:00,0.00021549402087491293,0.0007536317095077,0.0004097311196884163,0.0005148678312222777,0.0002987222855458946,0.00037800038250122565,2.0,1097.0806629291815,1052.5294684924309,0.19152345509530555
AAPL,9573,2024-02-01 14:25:00,0.0005411680350869706,0.000847975516186,0.0005289606047695036,0.0008376566919549599,0.0004604876133458203,0.000520616421588181,2.0,1320.9256381562598,1405.9575804411618,0.1775701118515376
