model_name,n_obs,SMAPE,MAE,MSE,RMSE,bias_pred_minus_actual,underprediction_share
CP_REPO_FRESH,367468,100.87996479236023,0.0005862627333686981,2.195810003722176e-06,0.0014818265768038364,-3.534639696983517e-06,0.3015636735715763
PM_QDK,367468,102.59429928707499,0.0006164191585371385,2.4468588583527014e-06,0.0015642438615358864,1.2041716453393327e-05,0.3103970958015392
PM_QDK_2,367468,99.4014121869994,0.0006012703576758413,2.551355154165476e-06,0.0015972962011366195,-9.517738752707305e-05,0.3688484439461395
PHQO,356403,97.9334151931188,0.0005957912089305049,2.237231108216172e-06,0.0014957376468539435,-2.811193978640465e-06,0.3085664262085336
