segment,n_obs,share,actual_mean,cp_smape_minus_pm_smape,cp_mae_minus_pm_mae,cp_mse_minus_pm_mse,share_of_total_pm_excess_mse,pm_to_cp_prediction_ratio_median
all,367468,1.0,0.0006773873865942229,1.4785526053608056,-1.5007624307142952e-05,-3.555451504433001e-07,1.0,0.8160766068949743
actual_zero,81219,0.22102332720128012,0.0,-2.663037082029753e-16,-0.00012008944898286131,-1.9904504505115073e-07,0.12373561575873561,1.1785989069360001
cp_negative,270,0.0007347578564664134,0.0004041003980191381,84.47924881191635,-9.415923753868098e-05,-1.318420272832482e-07,0.0002724603759551892,-9.688310540895177
actual_top_50pct,183736,0.5000054426507886,0.0012638673876327461,-4.036732178110098,-4.3329880003433904e-05,-6.837832236379023e-07,0.9616087661045897,0.7734795990581467
actual_top_25pct,91867,0.25,0.0020193141580300655,-16.585373894547974,-0.00017459588623764834,-1.3572428284159356e-06,0.9543392918759409,0.7626784897246428
actual_top_10pct,36747,0.10000054426507886,0.0034252863430611524,-19.66751392440479,-0.00028449563594969726,-2.1190929829415304e-06,0.5960155872699958,0.748550840138364
actual_top_5pct,18374,0.05000163279523659,0.004950660217112541,-18.184980421368632,-0.0003380808603677927,-3.3840626037085493e-06,0.4759132713686426,0.7422109346144108
actual_top_1pct,3675,0.010000870824126182,0.0110257792904537,-10.316503862479443,-0.0003183157325577097,-6.664585526506489e-06,0.18746327678448121,0.7532911475878981
