model,smape_pct_mean,smape_pct_se,rmse_mean,rmse_se,mae_mean,mae_se,medae_mean,medae_se,diracc_pct_mean,diracc_pct_se,n_test_mean,sig_mark_smape
CP,41.499641575603356,,0.006817075095329674,,0.0038680885585205657,,0.0024375802750655996,,67.08860759493672,,396.0,
HAR,39.803697477003915,,0.006458878083125292,,0.0036593918848449253,,0.00221533780526045,,69.11392405063292,,396.0,
PM,40.8599436070049,,0.006527623496067158,,0.0037713429666065413,,0.0022739698424721496,,66.83544303797468,,396.0,
