asset,model_name,n_compared,max_abs_prediction_diff,mean_abs_prediction_diff,timestamp_alignment_exact,no_duplicate_dates,actual_target_match,selected_lambda_shape,selected_lambda_r_ratio,design_rank,feature_count,rank_deficient,threshold,first_failing_timestamp,passes,message
EEM,PHQO,8,0.0,0.0,True,True,True,0.0,0.0,22,22,False,1e-08,,True,
FXI,CP_REPO_FRESH,8,6.830473686658678e-16,5.090871300905686e-16,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
FXI,RAW_CP_REPO_PLUS_PM,8,3.882311139236094e-15,1.985472333418392e-15,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
FXI,CP_REPO_RIDGE_OPS_R,8,8.094653419776776e-16,5.382386160032726e-16,True,True,True,0.001,10.0,22,23,True,1e-06,,True,
FXI,CP_REPO_LRPM,8,1.0364972768961422e-15,7.202761607635888e-16,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
FXI,CP_REPO_RIDGE_OPS_C,8,8.027432885082675e-16,4.9247173179722835e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
FXI,CP_REPO_GATED_RIDGE_OPS_C,8,1.0284741808197497e-15,8.001547558214583e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
FXI,CP_REPO_OPS_HG,8,1.2847795743953228e-15,8.75520359336357e-16,True,True,True,0.001,10.0,44,47,True,1e-06,,True,
FXI,RANDOM_GATE_PLACEBO_REPO,8,5.272475164797008e-16,3.642919299551295e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
FXI,RIDGE_AR22,8,4.77048955893622e-18,2.1412992906588716e-18,True,True,True,0.001,10.0,22,22,False,1e-08,,True,
FXI,CP_REPO_OPS_K,8,6.225488874411766e-16,4.3715031594615544e-16,True,True,True,0.001,10.0,21,21,False,1e-08,,True,
FXI,PM_QDK,8,0.0,0.0,True,True,True,0.0,0.0,71,71,False,1e-08,,True,
FXI,PM_QDK_2,8,0.0,0.0,True,True,True,0.0,0.0,134,134,False,1e-08,,True,
FXI,PHQO,8,0.0,0.0,True,True,True,0.0,0.0,22,22,False,1e-08,,True,
GLD,CP_REPO_FRESH,8,4.84746791318269e-16,4.220697413532398e-16,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
GLD,RAW_CP_REPO_PLUS_PM,8,2.571727553135616e-16,1.2216925604838222e-16,True,True,True,0.0,0.0,21,23,True,1e-06,,True,
GLD,CP_REPO_RIDGE_OPS_R,8,9.276433787785976e-16,5.487689296035382e-16,True,True,True,0.001,10.0,22,23,True,1e-06,,True,
GLD,CP_REPO_LRPM,8,1.0924421089963945e-15,9.580010396081917e-16,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
GLD,CP_REPO_RIDGE_OPS_C,8,1.3183898417423734e-15,9.914283478386354e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
GLD,CP_REPO_GATED_RIDGE_OPS_C,8,1.0263057764747785e-15,8.315153036606017e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
GLD,CP_REPO_OPS_HG,8,9.361001557239845e-16,6.967625261478094e-16,True,True,True,0.001,10.0,44,47,True,1e-06,,True,
GLD,RANDOM_GATE_PLACEBO_REPO,8,8.91268395891709e-16,7.291564541826029e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
GLD,RIDGE_AR22,8,2.1684043449710093e-19,9.486769009248164e-20,True,True,True,0.001,10.0,22,22,False,1e-08,,True,
GLD,CP_REPO_OPS_K,8,6.815836957330125e-16,6.15721801886307e-16,True,True,True,0.001,10.0,21,21,False,1e-08,,True,
GLD,PM_QDK,8,0.0,0.0,True,True,True,0.0,0.0,71,71,False,1e-08,,True,
GLD,PM_QDK_2,8,0.0,0.0,True,True,True,0.0,0.0,134,134,False,1e-08,,True,
GLD,PHQO,8,0.0,0.0,True,True,True,0.0,0.0,22,22,False,1e-08,,True,
GOOGL,CP_REPO_FRESH,8,2.7465009433402802e-15,1.906068076810985e-15,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
GOOGL,RAW_CP_REPO_PLUS_PM,8,1.4297590889000844e-14,8.187949016719154e-15,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
GOOGL,CP_REPO_RIDGE_OPS_R,8,4.8355416892853506e-15,2.0441005658955458e-15,True,True,True,0.001,10.0,22,23,True,1e-06,,True,
GOOGL,CP_REPO_LRPM,8,5.136082531498332e-15,3.257295691852513e-15,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
GOOGL,CP_REPO_RIDGE_OPS_C,8,3.931317077432439e-15,1.7315792896765993e-15,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
GOOGL,CP_REPO_GATED_RIDGE_OPS_C,8,3.964710504344993e-15,1.7550387141837542e-15,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
GOOGL,CP_REPO_OPS_HG,8,6.881648029199994e-15,3.938716757259653e-15,True,True,True,0.001,10.0,44,47,True,1e-06,,True,
GOOGL,RANDOM_GATE_PLACEBO_REPO,8,4.6395179364999706e-15,2.34277115936099e-15,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
GOOGL,RIDGE_AR22,8,3.469446951953614e-18,1.81603863891322e-18,True,True,True,0.001,10.0,22,22,False,1e-08,,True,
GOOGL,CP_REPO_OPS_K,8,3.074255260082648e-15,2.0505109112403663e-15,True,True,True,0.001,10.0,21,21,False,1e-08,,True,
GOOGL,PM_QDK,8,0.0,0.0,True,True,True,0.0,0.0,71,71,False,1e-08,,True,
GOOGL,PM_QDK_2,8,0.0,0.0,True,True,True,0.0,0.0,134,134,False,1e-08,,True,
GOOGL,PHQO,8,0.0,0.0,True,True,True,0.0,0.0,22,22,False,1e-08,,True,
HYG,CP_REPO_FRESH,8,3.1929753979698106e-17,2.159934015498466e-17,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
HYG,RAW_CP_REPO_PLUS_PM,8,4.3883082931350786e-17,2.862293735361732e-17,True,True,True,0.0,0.0,21,23,True,1e-06,,True,
HYG,CP_REPO_RIDGE_OPS_R,8,5.175710120902677e-17,3.2853019892205287e-17,True,True,True,0.001,10.0,22,23,True,1e-06,,True,
HYG,CP_REPO_LRPM,8,5.380353280959316e-17,2.204826761702944e-17,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
HYG,CP_REPO_RIDGE_OPS_C,8,8.088148206741863e-17,4.181801660594481e-17,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
HYG,CP_REPO_GATED_RIDGE_OPS_C,8,1.5932350924674488e-16,4.7550735592961906e-17,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
HYG,CP_REPO_OPS_HG,8,1.1838132470826102e-16,7.526395956122811e-17,True,True,True,0.001,10.0,44,47,True,1e-06,,True,
