model_name,condition,n_obs,mean_advantage_vs_CP,standard_error,ci_low_approx,ci_high_approx,p_value_mean_advantage_gt_0,asset_sign_count,number_of_assets_positive,number_of_assets,inference_method,fdr_adjusted_p_value
PM_QDK_2,older_spike_position,108871,1.558414046840299,0.07480632594131933,1.411793647995313,1.7050344456852848,1.0949990798098208e-96,6,8,10,normal_approx_row_se,1.7519985276957133e-95
PM_QDK_2,same_average_different_path,7396,0.6350602311418397,0.27009590425331265,0.10567225880534692,1.1644482034783326,0.009355486311241118,2,6,10,normal_approx_row_se,0.04989592699328596
PM_QDK_2,recent_ramp_high_dispersion,24273,4.554540966433994,0.24909916749253858,4.066306598148619,5.04277533471937,5.544198271927973e-75,10,10,10,normal_approx_row_se,5.3224303410508545e-74
PM_QDK_2,entry_with_recent_spike,43747,0.14888236973152058,0.17484151980853505,-0.19380700909320808,0.49157174855624924,0.19723818504837182,0,5,10,normal_approx_row_se,0.8606757165747134
PM_QDK_2,entry_without_recent_spike,29710,-0.4670041390595389,0.17146479846660134,-0.8030751440540775,-0.1309331340650003,0.9967714158569574,-4,3,10,normal_approx_row_se,1.0
PM_QDK_2,same_average_recent_front_loaded,14331,-0.7242572982519657,0.2561741787354755,-1.2263586885734976,-0.22215590793043383,0.9976521979927993,0,5,10,normal_approx_row_se,1.0
PM_QDK_2,same_average_back_loaded,15559,2.077903173830558,0.16085963198054024,1.762618295148699,2.393188052512417,1.7931857921484553e-38,10,10,10,normal_approx_row_se,1.2296131146160837e-37
PM_QDK_2,stable_low_dispersion,68968,1.3270864432954879,0.101230377834489,1.1286749027398895,1.5254979838510863,1.4512497130516822e-39,6,8,10,normal_approx_row_se,1.1609997704413458e-38
PHQO,all_observations,356116,-0.0006430741581735626,5.6988103553309384e-05,-0.000754770841138049,-0.0005313774752090762,1.0,2,6,10,normal_approx_row_se,1.0
PHQO,cluster_entry_loose,71238,-0.00151467852064305,0.00015755693015613603,-0.0018234901037490765,-0.0012058669375370234,1.0,-2,4,10,normal_approx_row_se,1.0
PHQO,cluster_entry_strict,71023,-0.0015127974431227184,0.00015791271623462002,-0.0018223063669425736,-0.0012032885193028631,1.0,-2,4,10,normal_approx_row_se,1.0
PHQO,cluster_exit_loose,71233,-0.00031918237679594606,0.00015185506884361663,-0.0006168183117294347,-2.1546441862457485e-05,0.9822184646268634,0,5,10,normal_approx_row_se,1.0
PHQO,cluster_exit_strict,71093,-0.00032646476194579004,0.00015211327851983854,-0.0006246067878446736,-2.8322736046906534e-05,0.9840712889206822,0,5,10,normal_approx_row_se,1.0
PHQO,inflection_points,142397,-0.0009810502652155125,0.0001013575564023948,-0.0011797110757642063,-0.0007823894546668187,1.0,0,5,10,normal_approx_row_se,1.0
PHQO,high_within_block_dispersion,68330,-0.001892506809126425,0.0002034506613918181,-0.0022912701054543885,-0.0014937435127984613,1.0,-2,4,10,normal_approx_row_se,1.0
PHQO,recent_spike_position,117116,-0.0005357014502094975,9.341509764643053e-05,-0.0007187950415965014,-0.0003526078588224936,0.9999999951138601,0,5,10,normal_approx_row_se,1.0
PHQO,older_spike_position,107380,-0.000500102264003108,9.404730809881902e-05,-0.0006844349878767932,-0.0003157695401294227,0.9999999474161803,0,5,10,normal_approx_row_se,1.0
PHQO,same_average_different_path,7659,-5.7481551086450976e-05,0.0003417320252531554,-0.0007272763205826355,0.0006123132184097336,0.5667895898887613,1,5,10,normal_approx_row_se,1.0
PHQO,recent_ramp_high_dispersion,23257,-0.004507253999560346,0.000397926455107196,-0.005287189851570451,-0.003727318147550242,1.0,-1,4,10,normal_approx_row_se,1.0
PHQO,entry_with_recent_spike,42707,-0.0013322513081964135,0.00018387437850835104,-0.0016926450900727815,-0.0009718575263200455,0.9999999999997845,-2,4,10,normal_approx_row_se,1.0
PHQO,entry_without_recent_spike,28531,-0.0017877470763178773,0.00028107985262162776,-0.0023386635874562676,-0.001236830565179487,0.999999999899308,-1,4,10,normal_approx_row_se,1.0
PHQO,same_average_recent_front_loaded,14188,0.0001563887529413661,0.00020951341753239525,-0.0002542575454221286,0.0005670350513048608,0.2277014694525863,-2,4,10,normal_approx_row_se,0.9108058778103452
PHQO,same_average_back_loaded,14546,-0.0003290501508273515,0.00021439853345242785,-0.00074927127639411,9.117097473940709e-05,0.937578522622454,-1,4,10,normal_approx_row_se,1.0
PHQO,stable_low_dispersion,68344,-0.0007160321905642532,8.536372469583871e-05,-0.0008833450909680971,-0.0005487192901604093,1.0,-4,3,10,normal_approx_row_se,1.0
