model_name,benchmark_model,asset,condition,condition_label_type,n_obs,model_mean_SMAPE,CP_mean_SMAPE,mean_advantage_vs_CP,median_advantage_vs_CP,win_rate_vs_CP,winsorized_mean_advantage_1_99,trimmed_mean_advantage_10pct,mean_gain_when_model_wins,mean_loss_when_model_loses,median_abs_advantage_vs_CP,mean_abs_error_model,mean_abs_error_CP,mean_abs_error_advantage_vs_CP,run_type,model_status,source,benchmark_source,source_path,seed,phase,is_paper_eligible,alignment_exact,actual_match,n_rows_overlapping_CP,n_rows_used_in_CP_comparison,number_of_assets
CP_REPO_FRESH,CP_REPO_FRESH,POOLED,same_average_back_loaded,ex_post_descriptive,15559,115.58379315439637,115.58379315439637,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0005277712465664336,0.0005277712465664336,0.0,full,pooled,pooled,pooled,/home/runner/work/money-making/money-making/projects/harv-extension/outputs/pm_native_geometry_warmup600_actions/28733449635/combined/predictions/full,,,True,True,True,15559,15559,10
CP_REPO_FRESH,CP_REPO_FRESH,POOLED,stable_low_dispersion,ex_post_descriptive,68968,79.91610745758297,79.91610745758297,0.0,0.0,0.0,0.0,0.0,,,0.0,0.000642345966919649,0.000642345966919649,0.0,full,pooled,pooled,pooled,/home/runner/work/money-making/money-making/projects/harv-extension/outputs/pm_native_geometry_warmup600_actions/28733449635/combined/predictions/full,,,True,True,True,68968,68968,10
PM_QDK,CP_REPO_FRESH,POOLED,all_observations,not_conditioned,367248,102.59815561384242,100.86366051352243,-1.734495100320009,0.0,0.38564947937088834,-1.686540274100973,-1.1582861740659485,15.214340625308186,-17.062385895686983,6.870010395042087,0.0006162591350185498,0.0005861095985985936,-3.014953641995587e-05,full,pooled,pooled,pooled,/home/runner/work/money-making/money-making/projects/harv-extension/outputs/pm_native_geometry_warmup600_actions/28733449635/combined/predictions/full,,,True,True,True,367248,367248,10
PM_QDK,CP_REPO_FRESH,POOLED,cluster_entry_loose,ex_post_descriptive,73457,95.27617273038898,93.56088920634402,-1.7152835240449698,0.0,0.4188981308792899,-1.662033616409174,-1.2286014930000508,19.295737628462756,-21.074863094143794,9.782971019881598,0.0007630824626807122,0.0007565085518804874,-6.573910800224908e-06,full,pooled,pooled,pooled,/home/runner/work/money-making/money-making/projects/harv-extension/outputs/pm_native_geometry_warmup600_actions/28733449635/combined/predictions/full,,,True,True,True,73457,73457,10
PM_QDK,CP_REPO_FRESH,POOLED,cluster_entry_strict,ex_post_descriptive,73266,95.23385773542445,93.51351872126943,-1.7203390141550339,0.0,0.41896650560969617,-1.6669210630349935,-1.2307175574480305,19.309818265781182,-21.090242061485927,9.79148374228533,0.0007639751004963007,0.0007574764161019864,-6.4986843943142815e-06,full,pooled,pooled,pooled,/home/runner/work/money-making/money-making/projects/harv-extension/outputs/pm_native_geometry_warmup600_actions/28733449635/combined/predictions/full,,,True,True,True,73266,73266,10
PM_QDK,CP_REPO_FRESH,POOLED,cluster_exit_loose,ex_post_descriptive,73455,101.38360088644666,97.78270322300327,-3.600897663443411,0.0,0.36301136750391394,-3.549996129318497,-2.4309831285837804,16.917598591224746,-20.461833537392952,8.251429507750686,0.0006886371029262221,0.0006171643472766631,-7.147275564955903e-05,full,pooled,pooled,pooled,/home/runner/work/money-making/money-making/projects/harv-extension/outputs/pm_native_geometry_warmup600_actions/28733449635/combined/predictions/full,,,True,True,True,73455,73455,10
PM_QDK,CP_REPO_FRESH,POOLED,cluster_exit_strict,ex_post_descriptive,73334,101.31693843436292,97.71189561215205,-3.6050428222108715,0.0,0.3631603349060463,-3.5541380038053614,-2.4323288099140155,16.917164269077688,-20.465179891165636,8.268929420782428,0.0006886516544517652,0.000617143413936429,-7.150824051533621e-05,full,pooled,pooled,pooled,/home/runner/work/money-making/money-making/projects/harv-extension/outputs/pm_native_geometry_warmup600_actions/28733449635/combined/predictions/full,,,True,True,True,73334,73334,10
PM_QDK,CP_REPO_FRESH,POOLED,inflection_points,ex_post_descriptive,144886,93.41552881989388,91.11849776564618,-2.2970310542476926,0.0,0.40558093949725993,-2.2580750181194325,-1.602638668095453,16.61688227414414,-18.810475042760558,8.695473463776134,0.0006918550928625481,0.0006529679143698351,-3.8887178492713105e-05,full,pooled,pooled,pooled,/home/runner/work/money-making/money-making/projects/harv-extension/outputs/pm_native_geometry_warmup600_actions/28733449635/combined/predictions/full,,,True,True,True,144886,144886,10
PM_QDK,CP_REPO_FRESH,POOLED,high_within_block_dispersion,ex_post_descriptive,68970,121.90123766933657,119.6042723375393,-2.296965331797259,0.0,0.32799768015079017,-2.2346603083156964,-1.94082832945346,23.060917245486067,-23.803225845633584,7.33638966375517,0.0005919228875945915,0.0005686239436959389,-2.3298943898652594e-05,full,pooled,pooled,pooled,/home/runner/work/money-making/money-making/projects/harv-extension/outputs/pm_native_geometry_warmup600_actions/28733449635/combined/predictions/full,,,True,True,True,68970,68970,10
PM_QDK,CP_REPO_FRESH,POOLED,recent_spike_position,ex_post_descriptive,125358,112.32803908959177,111.53126330980865,-0.7967757797831192,0.0,0.37928173710493146,-0.7394400956208754,-0.5086661545388105,15.542393696135603,-16.767827394229542,5.519966852212839,0.0006124467506197852,0.0006091827783180372,-3.2639723017479684e-06,full,pooled,pooled,pooled,/home/runner/work/money-making/money-making/projects/harv-extension/outputs/pm_native_geometry_warmup600_actions/28733449635/combined/predictions/full,,,True,True,True,125358,125358,10
