ticker,model,family,feature_count,seed,offset,suite,n_obs,smape_pct,rmse,mae,medae,diracc_pct
AAPL,PM_FC3,PM_FC,3.0,,,capacity,36739,88.58868207205266,0.0018429335657437,0.000801185443501242,0.0005339516313982001,65.8772932658283
AAPL,CP_FC3,CP_FC,3.0,,,capacity,36739,88.76594830428225,0.001843949428631341,0.0008031966592296646,0.0005391126910741999,65.6486471773096
AAPL,EQWIN_FC3,EQWIN,3.0,,,capacity,36739,88.06817043234629,0.0018417758766802223,0.0007936946824683384,0.0005252043051733001,66.04877783221733
AAPL,PREFIX_FC3,PREFIX,3.0,,,capacity,36739,87.99653330104988,0.0018405653973147743,0.0007925877533665224,0.000522549303219,66.19304262616365
AAPL,PM_FC6,PM_FC,6.0,,,capacity,36739,88.58904677269733,0.00184317939855453,0.0008012812050171613,0.0005344218185935,65.8310196526757
AAPL,CP_FC6,CP_FC,6.0,,,capacity,36739,88.09182551466054,0.0018372006280223084,0.0007940976438834303,0.0005216087898178,66.32369753388862
AAPL,EQWIN_FC6,EQWIN,6.0,,,capacity,36739,87.929633786179,0.0018400174409560414,0.000791786289945618,0.0005221640162261,66.24748217104906
AAPL,PREFIX_FC6,PREFIX,6.0,,,capacity,36739,87.86861134365522,0.0018404694551624296,0.0007910809196133553,0.0005222926743398,66.35091730633131
AAPL,PM_FC9,PM_FC,9.0,,,capacity,36739,88.5951010197811,0.0018433601668555453,0.0008013185947220382,0.0005340772441441,65.85551744787413
AAPL,CP_FC9,CP_FC,9.0,,,capacity,36739,87.89496334359985,0.001835327204885274,0.0007913428729772503,0.0005174527934219999,66.44346453263651
AAPL,EQWIN_FC9,EQWIN,9.0,,,capacity,36739,87.8910376642041,0.001839873658883379,0.000791279686928718,0.0005202601272275,66.33186346562144
AAPL,PREFIX_FC9,PREFIX,9.0,,,capacity,36739,87.87272886351273,0.0018395932310434021,0.0007911984003494006,0.0005212152475736999,66.30464369317872
AAPL,SHIFTWIN_FC6_O1,SHIFTWIN,6.0,,1.0,contiguous,36739,88.20449768755783,0.0018421941505271627,0.0007956133345213371,0.0005288601288970851,66.05149980946159
AAPL,SHIFTWIN_FC6_O3,SHIFTWIN,6.0,,3.0,contiguous,36739,87.93377015302035,0.001840318348511004,0.0007918832402436496,0.0005217575295212999,66.3345854428657
AAPL,SHIFTWIN_FC6_O5,SHIFTWIN,6.0,,5.0,contiguous,36739,88.13348796251354,0.0018419069637048361,0.0007948110401947862,0.0005281730950126,66.08960749088138
AAPL,SHIFTWIN_FC9_O1,SHIFTWIN,9.0,,1.0,contiguous,36739,88.1330852327973,0.001841514694558241,0.0007950461329011857,0.0005260781407146,66.14404703576679
AAPL,SHIFTWIN_FC9_O3,SHIFTWIN,9.0,,3.0,contiguous,36739,88.12807942619705,0.00184098968526533,0.0007947877060088897,0.0005259397985974999,66.15765692198813
AAPL,SHIFTWIN_FC9_O5,SHIFTWIN,9.0,,5.0,contiguous,36739,88.13218500554571,0.0018415364073233824,0.0007948128119970032,0.0005277477158617001,66.19848658065219
AAPL,HAR,HAR,0.0,,,core,36739,89.9313306775553,0.0018533253292209334,0.0008141370506954219,0.0005673333662409,65.04436822908161
AAPL,PM,PM,10.0,,,core,36739,88.59538545639872,0.001843368923218077,0.0008013099773958036,0.0005341145052179843,65.8582394251184
AAPL,CP,CP,10.0,,,core,36739,87.85136577639892,0.0018345419827045725,0.0007906026158481786,0.000515794490612,66.46796232783494
AAPL,EWMA,EWMA,,,,external,36739,101.67583147027027,0.002249177271459096,0.0012465243078370266,0.0008775576501914,60.250966301921714
AAPL,HARQ,HARQ,4.0,,,external,35719,89.80091193659977,0.014507059228366133,0.0009374965004476407,0.0005546469992824001,64.70127106780895
