asset,group,baseline,model,delta_smape_pct,delta_mae,delta_rmse,dm_p_mae,win_smape,n
SPY,Broad US Equity,HAR,CP,22.371323522658813,3.722480041803372e-07,2.949070069741379e-06,0.00261625862065884,1.0,33633
SPY,Broad US Equity,HAR,PM,0.311229910625201,4.156285164303033e-08,1.2239415863540777e-07,0.018275173902746022,1.0,33633
