model,smape_low_pct_mean,smape_low_pct_se,smape_med_pct_mean,smape_med_pct_se,smape_high_pct_mean,smape_high_pct_se
CP,180.80991548143746,,117.71431849976254,,74.09720338998926,
CP_CJ,180.80991548143746,,117.71431849976254,,74.09720338998928,
EXH,195.04326431375694,,161.2467110371818,,83.7379425019912,
HAM,195.1025181263145,,161.39257675274663,,82.84896358847375,
HAR,195.17390700977546,,161.79383432656755,,83.17024544533272,
HAR_CJ,194.12949345896615,,158.1607903417947,,84.93654765827509,
HAR_J,194.05143237638885,,157.24267178664982,,84.31499899454893,
HAR_TCJ,194.72905226164164,,159.33524768503304,,82.30485013592798,
PM,195.08525856116827,,161.2252594826176,,82.8927575345356,
PM_AD,195.1142058598419,,161.47102236726587,,83.10361216099415,
PM_VW,195.09886069115703,,161.3290109814796,,83.12518492083097,
RAND,194.98420212475483,,160.61624470652526,,84.0998886203566,
