group,baseline,model,n_assets,delta_smape_pct_mean,delta_smape_pct_se,delta_mae_mean,delta_mae_se,delta_rmse_mean,delta_rmse_se,winner_frac_smape,fisher_p_dm,sig_mark
Broad US Equity,HAR,CP,1,22.371323522658813,,3.722480041803372e-07,,2.949070069741379e-06,,1.0,0.00261625862065884,‡
Broad US Equity,HAR,PM,1,0.311229910625201,,4.156285164303033e-08,,1.2239415863540777e-07,,1.0,0.018275173902746022,†
