time_utc,ticker,suite,model,family,feature_count,status,n_obs,seconds,error
2026-06-09 01:31:47 UTC,HYG,contiguous,SHIFTWIN_FC6_O1,SHIFTWIN,6,complete,36739,494.37246236499993,
2026-06-09 01:39:39 UTC,HYG,contiguous,SHIFTWIN_FC6_O3,SHIFTWIN,6,complete,36739,471.28945046499996,
2026-06-09 01:47:32 UTC,HYG,contiguous,SHIFTWIN_FC6_O5,SHIFTWIN,6,complete,36739,473.53461977899997,
2026-06-09 01:57:10 UTC,HYG,contiguous,SHIFTWIN_FC9_O1,SHIFTWIN,9,complete,36739,578.1008575389999,
2026-06-09 02:06:53 UTC,HYG,contiguous,SHIFTWIN_FC9_O3,SHIFTWIN,9,complete,36739,582.9548775089997,
2026-06-09 02:16:33 UTC,HYG,contiguous,SHIFTWIN_FC9_O5,SHIFTWIN,9,complete,36739,579.7027929579999,
