time_utc,ticker,suite,model,family,feature_count,status,n_obs,seconds,error
2026-06-09 00:58:43 UTC,FXI,contiguous,SHIFTWIN_FC6_O1,SHIFTWIN,6,complete,36817,552.6820615670001,
2026-06-09 01:07:34 UTC,FXI,contiguous,SHIFTWIN_FC6_O3,SHIFTWIN,6,complete,36817,531.031253203,
2026-06-09 01:16:23 UTC,FXI,contiguous,SHIFTWIN_FC6_O5,SHIFTWIN,6,complete,36817,528.254050771,
2026-06-09 01:27:17 UTC,FXI,contiguous,SHIFTWIN_FC9_O1,SHIFTWIN,9,complete,36817,653.9031563510002,
2026-06-09 01:38:11 UTC,FXI,contiguous,SHIFTWIN_FC9_O3,SHIFTWIN,9,complete,36817,653.9266202479998,
2026-06-09 01:49:04 UTC,FXI,contiguous,SHIFTWIN_FC9_O5,SHIFTWIN,9,complete,36817,653.7579853510001,
