model_name,condition,n_obs,mean_advantage_vs_CP,standard_error,ci_low_approx,ci_high_approx,p_value_mean_advantage_gt_0,asset_sign_count,number_of_assets_positive,number_of_assets,inference_method,fdr_adjusted_p_value
RAW_PM,same_average_different_path,7396,-2.799444797025364,0.18560118119127095,-3.163223112160255,-2.435666481890473,1.0,-10,0,10,normal_approx_row_se,1.0
RAW_PM,recent_ramp_high_dispersion,24273,0.7518174525548279,0.1544389702614042,0.44911707084247565,1.0545178342671802,5.63508892863291e-07,4,7,10,normal_approx_row_se,3.649390925209884e-06
RAW_PM,entry_with_recent_spike,43747,0.03416057586212555,0.10998555265117718,-0.1814111073341817,0.24973225905843283,0.37805560153680007,0,5,10,normal_approx_row_se,1.0
RAW_PM,entry_without_recent_spike,29710,-1.2319369639354703,0.10294341396100078,-1.4337060552990317,-1.0301678725719088,1.0,-10,0,10,normal_approx_row_se,1.0
RAW_PM,same_average_recent_front_loaded,14331,-0.8285950124311802,0.13997206731003997,-1.1029402643588586,-0.5542497605035018,0.9999999983875187,-6,2,10,normal_approx_row_se,1.0
RAW_PM,same_average_back_loaded,15559,-1.4833236508125334,0.10258867069459994,-1.6843974453739492,-1.2822498562511175,1.0,-6,2,10,normal_approx_row_se,1.0
RAW_PM,stable_low_dispersion,68968,-0.105876146988889,0.06075473828589489,-0.22495543402924298,0.013203140051464973,0.9593053510494891,0,5,10,normal_approx_row_se,1.0
RAW_CP_REPO_PLUS_PM,all_observations,367248,-0.2153689458748055,0.01726860336163765,-0.2492154084636153,-0.1815224832859957,1.0,-6,2,10,normal_approx_row_se,1.0
RAW_CP_REPO_PLUS_PM,cluster_entry_loose,73457,0.24631458053243022,0.036728378417352825,0.17432695883441868,0.31830220223044176,9.975368742190235e-12,8,9,10,normal_approx_row_se,1.0853201191502976e-10
RAW_CP_REPO_PLUS_PM,cluster_entry_strict,73266,0.24435794654379644,0.0367079030336569,0.17241045659782894,0.31630543648976395,1.399066348613351e-11,8,9,10,normal_approx_row_se,1.463638641626275e-10
RAW_CP_REPO_PLUS_PM,cluster_exit_loose,73455,-0.797803868635283,0.041954066838921895,-0.8800338396395699,-0.715573897630996,1.0,-10,0,10,normal_approx_row_se,1.0
RAW_CP_REPO_PLUS_PM,cluster_exit_strict,73334,-0.8017753299076622,0.04198215108040239,-0.8840603460252509,-0.7194903137900736,1.0,-10,0,10,normal_approx_row_se,1.0
RAW_CP_REPO_PLUS_PM,inflection_points,144886,-0.2924819333279346,0.027172789162773773,-0.34574060008697116,-0.239223266568898,1.0,-10,0,10,normal_approx_row_se,1.0
RAW_CP_REPO_PLUS_PM,high_within_block_dispersion,68970,0.0414686128320981,0.05010738093167071,-0.05674185379397649,0.1396790794581727,0.2039499791984111,2,6,10,normal_approx_row_se,0.7599232101639427
RAW_CP_REPO_PLUS_PM,recent_spike_position,125358,0.22330280473936606,0.026961985801286774,0.170457312568844,0.2761482969098881,6.049319113753415e-17,6,8,10,normal_approx_row_se,7.835308566385376e-16
