model_name,benchmark_model,asset,condition,condition_label_type,loss_variant,loss_metric,n_obs,CP_loss,model_loss,advantage_CP_minus_model
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_strict,ex_post_descriptive,high_vol_only,MSE,1467,1.6535254302054495e-05,1.6535254302054495e-05,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_strict,ex_post_descriptive,high_vol_only,RMSE,1467,0.004066356391421501,0.004066356391421501,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_strict,ex_post_descriptive,high_vol_only,LOG_RV_MSE,1467,1.130967408931618,1.130967408931618,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_strict,ex_post_descriptive,near_zero_excluded,SMAPE,7332,84.58905179970492,84.58905179970492,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_strict,ex_post_descriptive,near_zero_excluded,MAE,7332,0.0010693079921327345,0.0010693079921327345,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_strict,ex_post_descriptive,near_zero_excluded,MSE,7332,4.0399900025148e-06,4.0399900025148e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_strict,ex_post_descriptive,near_zero_excluded,RMSE,7332,0.002009972637255244,0.002009972637255244,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_strict,ex_post_descriptive,near_zero_excluded,LOG_RV_MSE,7332,23.177832929637123,23.177832929637123,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,standard,SMAPE,7344,85.82527081534339,85.82527081534339,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,standard,MAE,7344,0.0008605791540500909,0.0008605791540500909,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,standard,MSE,7344,5.543576526636211e-06,5.543576526636211e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,standard,RMSE,7344,0.002354480096886829,0.002354480096886829,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,standard,LOG_RV_MSE,7344,36.291955399439544,36.291955399439544,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,high_vol_only,SMAPE,1469,74.20955947797069,74.20955947797069,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,high_vol_only,MAE,1469,0.002143894951810185,0.002143894951810185,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,high_vol_only,MSE,1469,2.5784224003313215e-05,2.5784224003313215e-05,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,high_vol_only,RMSE,1469,0.005077816854053838,0.005077816854053838,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,high_vol_only,LOG_RV_MSE,1469,1.3146103102706974,1.3146103102706974,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,near_zero_excluded,SMAPE,7344,85.82527081534339,85.82527081534339,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,near_zero_excluded,MAE,7344,0.0008605791540500909,0.0008605791540500909,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,near_zero_excluded,MSE,7344,5.543576526636211e-06,5.543576526636211e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,near_zero_excluded,RMSE,7344,0.002354480096886829,0.002354480096886829,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_loose,ex_post_descriptive,near_zero_excluded,LOG_RV_MSE,7344,36.291955399439544,36.291955399439544,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,standard,SMAPE,7341,85.7786117515164,85.7786117515164,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,standard,MAE,7341,0.0008606672334774156,0.0008606672334774156,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,standard,MSE,7341,5.5456680630640535e-06,5.5456680630640535e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,standard,RMSE,7341,0.0023549242159916855,0.0023549242159916855,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,standard,LOG_RV_MSE,7341,36.138803618846836,36.138803618846836,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,high_vol_only,SMAPE,1469,74.20955947797069,74.20955947797069,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,high_vol_only,MAE,1469,0.002143894951810185,0.002143894951810185,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,high_vol_only,MSE,1469,2.5784224003313215e-05,2.5784224003313215e-05,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,high_vol_only,RMSE,1469,0.005077816854053838,0.005077816854053838,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,high_vol_only,LOG_RV_MSE,1469,1.3146103102706974,1.3146103102706974,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,near_zero_excluded,SMAPE,7341,85.7786117515164,85.7786117515164,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,near_zero_excluded,MAE,7341,0.0008606672334774156,0.0008606672334774156,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,near_zero_excluded,MSE,7341,5.5456680630640535e-06,5.5456680630640535e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,near_zero_excluded,RMSE,7341,0.0023549242159916855,0.0023549242159916855,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_exit_strict,ex_post_descriptive,near_zero_excluded,LOG_RV_MSE,7341,36.138803618846836,36.138803618846836,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,standard,SMAPE,14969,85.23505396191682,85.23505396191682,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,standard,MAE,14969,0.0008968962738330668,0.0008968962738330668,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,standard,MSE,14969,4.211100900201734e-06,4.211100900201734e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,standard,RMSE,14969,0.0020520967082965982,0.0020520967082965982,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,standard,LOG_RV_MSE,14969,30.646343630081347,30.646343630081347,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,high_vol_only,SMAPE,2994,77.81170476968519,77.81170476968519,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,high_vol_only,MAE,2994,0.0021907227292454583,0.0021907227292454583,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,high_vol_only,MSE,2994,1.8735805770617336e-05,1.8735805770617336e-05,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,high_vol_only,RMSE,2994,0.0043284877001809,0.0043284877001809,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,high_vol_only,LOG_RV_MSE,2994,1.0808828233164716,1.0808828233164716,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,near_zero_excluded,SMAPE,14969,85.23505396191682,85.23505396191682,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,near_zero_excluded,MAE,14969,0.0008968962738330668,0.0008968962738330668,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,near_zero_excluded,MSE,14969,4.211100900201734e-06,4.211100900201734e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,near_zero_excluded,RMSE,14969,0.0020520967082965982,0.0020520967082965982,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,inflection_points,ex_post_descriptive,near_zero_excluded,LOG_RV_MSE,14969,30.646343630081347,30.646343630081347,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,standard,SMAPE,7342,103.16873443558283,103.16873443558283,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,standard,MAE,7342,0.0007442618741786026,0.0007442618741786026,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,standard,MSE,7342,1.6280414221220492e-06,1.6280414221220492e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,standard,RMSE,7342,0.001275947264632065,0.001275947264632065,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,standard,LOG_RV_MSE,7342,73.09276872247825,73.09276872247825,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,high_vol_only,SMAPE,1469,65.28116746633145,65.28116746633145,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,high_vol_only,MAE,1469,0.001438379459924728,0.001438379459924728,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,high_vol_only,MSE,1469,5.647430906173747e-06,5.647430906173747e-06,0.0
