model_name,condition,condition_label_type,loss_variant,loss_metric,n_obs_total,n_assets,pooled_CP_loss,pooled_model_loss,pooled_advantage_CP_minus_model,equal_weight_asset_advantage,assets_positive
CP_REPO_FRESH,cluster_entry_strict,ex_post_descriptive,standard,MAE,73266,10,0.0007574764163155193,0.0007574764163155193,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_strict,ex_post_descriptive,standard,MSE,73266,10,2.4671601900807016e-06,2.4671601900807016e-06,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_strict,ex_post_descriptive,standard,RMSE,73266,10,0.0015707196408273189,0.0015707196408273189,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_strict,ex_post_descriptive,standard,SMAPE,73266,10,93.51351872765494,93.51351872765494,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,high_vol_only,LOG_RV_MSE,14693,10,1.1229862115788884,1.1229862115788884,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,high_vol_only,MAE,14693,10,0.0015010885261131542,0.0015010885261131542,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,high_vol_only,MSE,14693,10,1.2677943124526244e-05,1.2677943124526244e-05,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,high_vol_only,RMSE,14693,10,0.0035606099371492863,0.0035606099371492863,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,high_vol_only,SMAPE,14693,10,73.70908084853484,73.70908084853484,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,near_zero_excluded,LOG_RV_MSE,72719,10,80.20388218822569,80.20388218822569,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,near_zero_excluded,MAE,72719,10,0.0006184788455707456,0.0006184788455707456,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,near_zero_excluded,MSE,72719,10,2.7784093074004996e-06,2.7784093074004996e-06,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,near_zero_excluded,RMSE,72719,10,0.0016668561147863063,0.0016668561147863063,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,near_zero_excluded,SMAPE,72719,10,96.79268422556595,96.79268422556595,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,standard,LOG_RV_MSE,73455,10,82.09800800629024,82.09800800629024,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,standard,MAE,73455,10,0.0006171643472764074,0.0006171643472764074,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,standard,MSE,73455,10,2.7534877094946653e-06,2.7534877094946653e-06,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,standard,RMSE,73455,10,0.0016593636459482487,0.0016593636459482487,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_loose,ex_post_descriptive,standard,SMAPE,73455,10,97.78270324564932,97.78270324564932,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,high_vol_only,LOG_RV_MSE,14671,10,1.121544847097662,1.121544847097662,0.0,0.0,0
