model_name,condition,n_obs_total,n_assets,pooled_model_mean_SMAPE,equal_weight_asset_model_mean_SMAPE,pooled_CP_mean_SMAPE,equal_weight_asset_CP_mean_SMAPE,pooled_mean_advantage_vs_CP,equal_weight_asset_mean_advantage_vs_CP,pooled_median_advantage_vs_CP,equal_weight_asset_median_advantage_vs_CP,pooled_win_rate_vs_CP,equal_weight_asset_win_rate_vs_CP,pooled_winsorized_mean_advantage_1_99,equal_weight_asset_winsorized_mean_advantage_1_99,pooled_trimmed_mean_advantage_10pct,equal_weight_asset_trimmed_mean_advantage_10pct,pooled_mean_abs_error_model,equal_weight_asset_mean_abs_error_model,pooled_mean_abs_error_CP,equal_weight_asset_mean_abs_error_CP,pooled_mean_abs_error_advantage_vs_CP,equal_weight_asset_mean_abs_error_advantage_vs_CP,assets_positive,assets_negative
CP_REPO_FRESH,all_observations,367468,10,100.87996479236024,100.88077507091973,100.87996479236024,100.88077507091973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005862627333686,0.0005862345983269,0.0005862627333686,0.0005862345983269,0.0,0.0,0,0
HAR_RV,all_observations,367468,10,102.17009400940049,102.17107250400618,100.87996479236024,100.88077507091973,-1.290129217040266,-1.2902974330864876,-0.6048761409504475,-0.6050045612639948,0.3814944430535448,0.3814921795579294,-1.3489705116801878,-1.349119113711186,-1.3267537943169871,-1.3269247039716825,0.0006037872445987,0.0006037595274763,0.0005862627333686,0.0005862345983269,-1.7524511230098423e-05,-1.752492914943601e-05,1,9
RAW_PM,all_observations,367468,10,101.90737803914652,101.9083007018676,100.87996479236024,100.88077507091973,-1.027413246786284,-1.0275256309478695,-0.0656865603865124,-0.0657005061980754,0.4013682824082641,0.4013669109757048,-1.0861557057818734,-1.086255308495801,-0.7220152526754726,-0.7221089988093471,0.0005993109791939,0.0005992828334649,0.0005862627333686,0.0005862345983269,-1.304824582529696e-05,-1.3048235138054845e-05,1,9
RAW_CP_REPO_PLUS_PM,all_observations,367468,10,101.1044471326595,101.10511180291569,100.87996479236024,100.88077507091973,-0.2244823402992598,-0.2243367319959587,0.0,0.0,0.4074939858708785,0.407497392229068,-0.0978525521720139,-0.0977254748262682,-0.0573479982003278,-0.0572822490569169,0.0005851831743291,0.0005851552651044,0.0005862627333686,0.0005862345983269,1.079559039496032e-06,1.0793332224464342e-06,1,9
CP_REPO_OPS_R,all_observations,367468,10,108.83373919866372,108.83389691076611,100.87996479236024,100.88077507091973,-7.965017081702824,-7.964360370690519,-0.1175697852300745,-0.117594746288481,0.3635854006335245,0.3635917330597216,-7.988792042972363,-7.988114405199394,-2.484578990690815,-2.484437320024532,0.0029797552096557,0.0029797423582376,0.0005862627333686,0.0005862345983269,-0.002393492476287,-0.0023935077599106,0,10
CP_REPO_RIDGE_OPS_R,all_observations,367468,10,101.01518400446533,101.01593707597732,100.87996479236024,100.88077507091973,-0.1352192121050798,-0.1351620050576161,0.0,0.0,0.4123542730251341,0.4123586939635746,-0.0789002876444404,-0.0788568098381631,-0.0145980788210284,-0.0145834532211687,0.0005868922601175,0.0005868638558782,0.0005862627333686,0.0005862345983269,-6.29526748851951e-07,-6.29257551303435e-07,1,9
CP_REPO_LRPM,all_observations,367468,10,113.0186537188445,113.01866075351832,100.87996479236024,100.88077507091973,-12.142720408912467,-12.141916833694866,-0.346587312750435,-0.346660896164231,0.3432190013824333,0.3432247119991252,-12.28489198030666,-12.28408422029623,-4.598442194578818,-4.597885144738861,20493131.50975305,20492111.40870622,0.0005862627333686,0.0005862345983269,-20493131.50916679,-20492111.408119984,0,10
CP_REPO_RECENT_SLOPE,all_observations,367468,10,101.09279405097492,101.0934192030681,100.87996479236024,100.88077507091973,-0.2128292586147125,-0.2126441321483874,0.0,0.0,0.4133149008893291,0.4133249290695155,-0.1328000903955716,-0.1326239643433634,-0.0384066243344379,-0.0382579460220344,0.0005858807409987,0.0005858514713255,0.0005862627333686,0.0005862345983269,3.8199236986171813e-07,3.831270014202794e-07,4,6
CP_REPO_HAAR_SHAPE,all_observations,367468,10,101.14442366662747,101.14509418498736,100.87996479236024,100.88077507091973,-0.2644588742672434,-0.2643191140676757,0.0011947861854435,0.0011950398486419,0.4102969510270282,0.4102997933943391,-0.1143764919427389,-0.1142458099954006,-0.0066492684019919,-0.0066170277040856,0.0005845897508456,0.0005845615304322,0.0005862627333686,0.0005862345983269,1.6729825230037254e-06,1.673067894669851e-06,0,10
CP_REPO_OPS_C,all_observations,367468,10,101.49941084786862,101.4999886244214,100.87996479236024,100.88077507091973,-0.6194460555083993,-0.6192135535016938,0.0,0.0,0.4080273656481653,0.4080310005791331,-0.410605422434135,-0.4103871976709417,-0.0648988588035988,-0.064847382063681,0.0006103665030754,0.0006103379402907,0.0005862627333686,0.0005862345983269,-2.4103769706780567e-05,-2.4103341963832935e-05,0,10
CP_REPO_RIDGE_OPS_C,all_observations,367468,10,101.14937870607704,101.15004888366882,100.87996479236024,100.88077507091973,-0.2694139137168089,-0.2692738127491124,0.0035719834797389,0.0035727418420009,0.4108983639391729,0.4109012474927146,-0.1168035448708123,-0.1166734046067149,-0.0026315516246706,-0.0025970114278811,0.0005846303603193,0.0005846021526718,0.0005862627333686,0.0005862345983269,1.6323730493235708e-06,1.6324456550599445e-06,1,9
CP_REPO_GATED_RIDGE_OPS_C,all_observations,367468,10,101.0390814503095,101.0397847323894,100.87996479236024,100.88077507091973,-0.1591166579492674,-0.1590096614697036,0.009367631785414,0.0093696206127617,0.4180908269563608,0.4180941303457799,-0.0732666793805453,-0.073169037393894,0.0104752268524412,0.0104955018173863,0.0005851564015481,0.0005851280965765,0.0005862627333686,0.0005862345983269,1.1063318205380753e-06,1.1065017504231826e-06,1,9
CP_REPO_OPS_HG,all_observations,367468,10,101.02476144000292,101.02533102028409,100.87996479236024,100.88077507091973,-0.1447966476427205,-0.14455594936437,0.0,0.0,0.4118481065017906,0.4118555339339663,-0.0229204466883254,-0.0226963399362532,0.0402125817807337,0.0403415048418169,0.0005815484773129,0.0005815197416709,0.0005862627333686,0.0005862345983269,4.714256055691813e-06,4.714856655944221e-06,4,6
