model_name,condition,n_obs_total,n_assets,corr_cp_residual_delta_equal_weight,mean_delta_pooled,std_delta_equal_weight,mean_2e_delta_pooled,mean_delta_squared_pooled,ratio_2Eedelta_over_Edelta2_pooled,actual_smape_advantage_pooled,win_rate_vs_cp_pooled,assets_positive_smape_advantage
HAR_RV,all_rows,367468,10,0.0026159944923171,2.622783717637507e-07,0.0001956707231112,3.6167628155087256e-11,4.5891657908817514e-08,0.000788108989807,-1.290129217040266,0.3814944430535448,1
HAR_RV,all_observations,367248,10,0.0026356746925679,1.6175146388410484e-07,0.0001955573839917,7.881684995261837e-11,4.583572259626031e-08,0.0017195507235016,-1.287756580707473,0.3815759377859103,1
HAR_RV,cluster_entry_loose,73457,10,0.0579539776285435,-7.239354718247565e-05,0.0002558396045041,3.899192317884632e-08,8.481405121204062e-08,0.4597342376838478,0.6012872778866823,0.4506173679839906,9
HAR_RV,cluster_entry_strict,73266,10,0.0583090424017338,-7.290533651708715e-05,0.000255898377588,3.91837205861951e-08,8.495648152536159e-08,0.4612210849915883,0.6065254500049146,0.451027761854066,9
HAR_RV,cluster_exit_loose,73455,10,-0.0230509153378214,-2.4877307965145792e-05,0.0002164279537626,-1.9191752287623273e-08,5.7584044822058626e-08,-0.333282462996964,-1.3306883197220516,0.3969777414743721,0
HAR_RV,cluster_exit_strict,73334,10,-0.0230501936394039,-2.5094342785772268e-05,0.0002164713687787,-1.9201971639397964e-08,5.7634156325242495e-08,-0.3331699961223849,-1.3304030896796948,0.3972236616030763,0
HAR_RV,inflection_points,144886,10,0.0199711487998031,-3.443973729733806e-05,0.0002151573236115,1.0935379766983417e-08,5.8917075562279785e-08,0.1856062892229587,-0.5400363157385886,0.4302210013389838,1
HAR_RV,high_within_block_dispersion,68970,10,0.1436646966309424,5.086749792852347e-05,0.0002414511467421,6.080397922192304e-08,7.64261571494392e-08,0.7955912149688558,-1.0311917179930232,0.3380745251558649,3
HAR_RV,recent_spike_position,125358,10,0.0372690754748746,-4.655377315836274e-06,0.0002150666063367,1.9328117801543248e-08,5.0991465806048136e-08,0.3790461304850493,-0.4667953398153722,0.3727324941367922,4
HAR_RV,older_spike_position,108871,10,-0.030037615620407,3.022867013414205e-06,0.0001815000600302,-1.868178730718797e-08,4.11277714627268e-08,-0.4542377727448438,-1.7738166133658595,0.3786315915165655,1
