asset,baseline,model,metric,mean_delta,win_rate,cld,median_delta,avg_gain_when_better,avg_loss_when_worse,p95_gain,p05_loss,dm_pvalue
ALL_MEAN,HAR,PM,smape,1.9742059725861956,0.5691227306132448,72530.35322684424,2.044509861940771,9.850082882928083,8.429683457941563,19.793091921137155,-16.39310797991016,0.0
ALL_MEAN,HAR,CP,smape,4.06305791663323,0.6301205803097526,149272.68479918825,5.157232834880739,13.068986466202553,11.280956200294465,26.726904011800336,-20.42952784216527,0.0
