asset,model_name,benchmark_model,loss_metric,n_obs,CP_loss,model_loss,advantage_CP_minus_model,relative_advantage
AMZN,CONTIGUOUS_CAST_D,CP_REPO_FRESH,RMSE,36739,0.002018054766786249,0.0020192822579422633,-1.2274911560142092e-06,-0.0006082546302591124
AMZN,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,SMAPE,36739,88.85346599501987,88.58678268721326,0.2666833078066162,0.0030013832867427305
AMZN,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,MAE,36739,0.000918127073502117,0.0009109695656347172,7.157507867399759e-06,0.007795770404741535
AMZN,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,MSE,36739,4.072545041748702e-06,4.073390637178164e-06,-8.45595429461341e-10,-0.00020763316815232874
AMZN,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,RMSE,36739,0.002018054766786249,0.0020182642634645654,-2.0949667831624344e-07,-0.00010381119569409247
EEM,CP_REPO_FRESH,CP_REPO_FRESH,SMAPE,36739,135.85749343604172,135.85749343604172,0.0,0.0
EEM,CP_REPO_FRESH,CP_REPO_FRESH,MAE,36739,0.00048633478130653043,0.00048633478130653043,0.0,0.0
EEM,CP_REPO_FRESH,CP_REPO_FRESH,MSE,36739,1.5196903857900638e-06,1.5196903857900638e-06,0.0,0.0
EEM,CP_REPO_FRESH,CP_REPO_FRESH,RMSE,36739,0.001232757229056096,0.001232757229056096,0.0,0.0
EEM,PM_CAST_D,CP_REPO_FRESH,SMAPE,36739,135.85749343604172,136.20002059731678,-0.3425271612750578,-0.0025212239134701163
EEM,PM_CAST_D,CP_REPO_FRESH,MAE,36739,0.00048633478130653043,0.00047488737600656254,1.144740529996789e-05,0.023538117650591685
EEM,PM_CAST_D,CP_REPO_FRESH,MSE,36739,1.5196903857900638e-06,1.5182566332683507e-06,1.4337525217131473e-09,0.0009434504127416462
EEM,PM_CAST_D,CP_REPO_FRESH,RMSE,36739,0.001232757229056096,0.0012321755691736267,5.816598824693459e-07,0.000471836521222199
EEM,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,SMAPE,36739,135.85749343604172,135.9377276545617,-0.08023421851999046,-0.0005905763200155221
EEM,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,MAE,36739,0.00048633478130653043,0.0004849506277629464,1.3841535435840419e-06,0.00284609202711255
EEM,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,MSE,36739,1.5196903857900638e-06,1.5202752968890168e-06,-5.849110989529793e-10,-0.0003848883327960866
EEM,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,RMSE,36739,0.001232757229056096,0.0012329944431703724,-2.3721411427637604e-07,-0.00019242565258206386
EEM,CONTIGUOUS_CAST_D,CP_REPO_FRESH,SMAPE,36739,135.85749343604172,135.9623859242241,-0.10489248818237229,-0.0007720773107870787
EEM,CONTIGUOUS_CAST_D,CP_REPO_FRESH,MAE,36739,0.00048633478130653043,0.0004841193446382585,2.215436668271927e-06,0.004555373692007371
EEM,CONTIGUOUS_CAST_D,CP_REPO_FRESH,MSE,36739,1.5196903857900638e-06,1.5211843081824756e-06,-1.4939223924118174e-09,-0.0009830439189329673
EEM,CONTIGUOUS_CAST_D,CP_REPO_FRESH,RMSE,36739,0.001232757229056096,0.001233363007464743,-6.05778408646878e-07,-0.0004914012218859293
EEM,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,SMAPE,36739,135.85749343604172,135.94848153911926,-0.09098810307753524,-0.0006697319432024568
EEM,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,MAE,36739,0.00048633478130653043,0.00048279301426310504,3.541767043425384e-06,0.007282569907729989
EEM,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,MSE,36739,1.5196903857900638e-06,1.519721693502342e-06,-3.130771227822157e-11,-2.0601375497907864e-05
EEM,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,RMSE,36739,0.001232757229056096,0.001232769927237983,-1.2698181887059456e-08,-1.0300634697378547e-05
FXI,CP_REPO_FRESH,CP_REPO_FRESH,SMAPE,36817,97.06344889936362,97.06344889936362,0.0,0.0
FXI,CP_REPO_FRESH,CP_REPO_FRESH,MAE,36817,0.0007187823869234105,0.0007187823869234105,0.0,0.0
FXI,CP_REPO_FRESH,CP_REPO_FRESH,MSE,36817,4.074102308858076e-06,4.074102308858076e-06,0.0,0.0
FXI,CP_REPO_FRESH,CP_REPO_FRESH,RMSE,36817,0.0020184405636178827,0.0020184405636178827,0.0,0.0
FXI,PM_CAST_D,CP_REPO_FRESH,SMAPE,36817,97.06344889936362,96.17165447307082,0.8917944262928046,0.009187747153075368
