asset,model_name_pm,benchmark_model_pm,loss_metric,n_obs_pm,CP_loss_pm,model_loss_pm,advantage_CP_minus_model_pm,relative_advantage_pm,model_name_control,benchmark_model_control,n_obs_control,CP_loss_control,model_loss_control,advantage_CP_minus_model_control,relative_advantage_control,advantage_PM_minus_control,PM_beats_control
AAPL,PM_CAST_D,CP_REPO_FRESH,SMAPE,36739,87.85136577639884,86.98796979887096,0.8633959775278726,0.009827917527490767,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,87.85136577639884,87.61753358668723,0.23383218971160602,0.0026616796181263783,0.6295637878162665,True
AAPL,PM_CAST_D,CP_REPO_FRESH,SMAPE,36739,87.85136577639884,86.98796979887096,0.8633959775278726,0.009827917527490767,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,87.85136577639884,87.65446563441178,0.19690014198705796,0.0022412872042104886,0.6664958355408146,True
AAPL,PM_CAST_D,CP_REPO_FRESH,SMAPE,36739,87.85136577639884,86.98796979887096,0.8633959775278726,0.009827917527490767,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,87.85136577639884,87.56084428438514,0.2905214920136956,0.003306966140436986,0.572874485514177,True
AAPL,PM_CAST_D,CP_REPO_FRESH,MAE,36739,0.0007906026158481771,0.0007720257275406337,1.8576888307543374e-05,0.023497124769330104,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,0.0007906026158481771,0.0007858764941790386,4.72612166913845e-06,0.005977872542286184,1.3850766638404924e-05,True
AAPL,PM_CAST_D,CP_REPO_FRESH,MAE,36739,0.0007906026158481771,0.0007720257275406337,1.8576888307543374e-05,0.023497124769330104,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,0.0007906026158481771,0.0007861997626504557,4.402853197721379e-06,0.005568983847843578,1.4174035109821995e-05,True
AAPL,PM_CAST_D,CP_REPO_FRESH,MAE,36739,0.0007906026158481771,0.0007720257275406337,1.8576888307543374e-05,0.023497124769330104,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,0.0007906026158481771,0.0007845019477791204,6.100668069056658e-06,0.007716478477005439,1.2476220238486716e-05,True
AAPL,PM_CAST_D,CP_REPO_FRESH,MSE,36739,3.3655442863056257e-06,3.3710985589706124e-06,-5.554272664986646e-09,-0.0016503341487993308,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,3.3655442863056257e-06,3.368587522777921e-06,-3.043236472295346e-09,-0.0009042330789341422,-2.5110361926913e-09,False
AAPL,PM_CAST_D,CP_REPO_FRESH,MSE,36739,3.3655442863056257e-06,3.3710985589706124e-06,-5.554272664986646e-09,-0.0016503341487993308,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,3.3655442863056257e-06,3.371040450564317e-06,-5.496164258691324e-09,-0.0016330684701001187,-5.810840629532198e-11,False
AAPL,PM_CAST_D,CP_REPO_FRESH,MSE,36739,3.3655442863056257e-06,3.3710985589706124e-06,-5.554272664986646e-09,-0.0016503341487993308,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,3.3655442863056257e-06,3.366527620545804e-06,-9.833342401782802e-10,-0.0002921768832992214,-4.570938424808366e-09,False
AAPL,PM_CAST_D,CP_REPO_FRESH,RMSE,36739,0.001834541982704573,0.001836055162289688,-1.5131795851150865e-06,-0.0008248269046883745,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,0.001834541982704573,0.0018353712220632427,-8.292393586697543e-07,-0.0004520143809667678,-6.839402264453322e-07,False
AAPL,PM_CAST_D,CP_REPO_FRESH,RMSE,36739,0.001834541982704573,0.001836055162289688,-1.5131795851150865e-06,-0.0008248269046883745,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,0.001834541982704573,0.0018360393379675494,-1.4973552629764155e-06,-0.0008162011428972261,-1.5824322138670993e-08,False
AAPL,PM_CAST_D,CP_REPO_FRESH,RMSE,36739,0.001834541982704573,0.001836055162289688,-1.5131795851150865e-06,-0.0008248269046883745,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,0.001834541982704573,0.0018348099685105822,-2.67985806009282e-07,-0.00014607777229180876,-1.2451937791058045e-06,False
AMZN,PM_CAST_D,CP_REPO_FRESH,SMAPE,36739,88.85346599501987,88.16255670987805,0.6909092851418279,0.007775828184131303,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,88.85346599501987,88.64323626100006,0.21022973401981915,0.0023660273875146555,0.4806795511220088,True
AMZN,PM_CAST_D,CP_REPO_FRESH,SMAPE,36739,88.85346599501987,88.16255670987805,0.6909092851418279,0.007775828184131303,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,88.85346599501987,88.65139791387877,0.20206808114110686,0.002274172187637931,0.48884120400072106,True
AMZN,PM_CAST_D,CP_REPO_FRESH,SMAPE,36739,88.85346599501987,88.16255670987805,0.6909092851418279,0.007775828184131303,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,88.85346599501987,88.58678268721326,0.2666833078066162,0.0030013832867427305,0.4242259773352117,True
AMZN,PM_CAST_D,CP_REPO_FRESH,MAE,36739,0.000918127073502117,0.0008970977818740854,2.102929162803161e-05,0.022904554538204804,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,0.000918127073502117,0.0009127697766757855,5.357296826331414e-06,0.0058350276132218435,1.5671994801700197e-05,True
AMZN,PM_CAST_D,CP_REPO_FRESH,MAE,36739,0.000918127073502117,0.0008970977818740854,2.102929162803161e-05,0.022904554538204804,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,0.000918127073502117,0.000912726213224612,5.400860277504963e-06,0.005882475785082608,1.5628431350526648e-05,True
AMZN,PM_CAST_D,CP_REPO_FRESH,MAE,36739,0.000918127073502117,0.0008970977818740854,2.102929162803161e-05,0.022904554538204804,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,0.000918127073502117,0.0009109695656347172,7.157507867399759e-06,0.007795770404741535,1.3871783760631851e-05,True
AMZN,PM_CAST_D,CP_REPO_FRESH,MSE,36739,4.072545041748702e-06,4.073508380063029e-06,-9.633383143265833e-10,-0.0002365445451065993,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,4.072545041748702e-06,4.0758701791182125e-06,-3.325137369510135e-09,-0.0008164765117201407,2.3617990551835517e-09,True
AMZN,PM_CAST_D,CP_REPO_FRESH,MSE,36739,4.072545041748702e-06,4.073508380063029e-06,-9.633383143265833e-10,-0.0002365445451065993,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,4.072545041748702e-06,4.077500837240406e-06,-4.955795491703267e-09,-0.0012168792342135294,3.9924571773766835e-09,True
AMZN,PM_CAST_D,CP_REPO_FRESH,MSE,36739,4.072545041748702e-06,4.073508380063029e-06,-9.633383143265833e-10,-0.0002365445451065993,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,4.072545041748702e-06,4.073390637178164e-06,-8.45595429461341e-10,-0.00020763316815232874,-1.1774288486524233e-10,False
AMZN,PM_CAST_D,CP_REPO_FRESH,RMSE,36739,0.002018054766786249,0.0020182934325967145,-2.38665810465416e-07,-0.00011826527921513804,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,0.002018054766786249,0.002018878445850124,-8.236790638750657e-07,-0.0004081549606241728,5.850132534096497e-07,True
AMZN,PM_CAST_D,CP_REPO_FRESH,RMSE,36739,0.002018054766786249,0.0020182934325967145,-2.38665810465416e-07,-0.00011826527921513804,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,0.002018054766786249,0.0020192822579422633,-1.2274911560142092e-06,-0.0006082546302591124,9.888253455487932e-07,True
AMZN,PM_CAST_D,CP_REPO_FRESH,RMSE,36739,0.002018054766786249,0.0020182934325967145,-2.38665810465416e-07,-0.00011826527921513804,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,0.002018054766786249,0.0020182642634645654,-2.0949667831624344e-07,-0.00010381119569409247,-2.9169132149172577e-08,False
EEM,PM_CAST_D,CP_REPO_FRESH,SMAPE,36739,135.85749343604172,136.20002059731678,-0.3425271612750578,-0.0025212239134701163,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,135.85749343604172,135.9377276545617,-0.08023421851999046,-0.0005905763200155221,-0.2622929427550673,False
EEM,PM_CAST_D,CP_REPO_FRESH,SMAPE,36739,135.85749343604172,136.20002059731678,-0.3425271612750578,-0.0025212239134701163,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,135.85749343604172,135.9623859242241,-0.10489248818237229,-0.0007720773107870787,-0.2376346730926855,False
EEM,PM_CAST_D,CP_REPO_FRESH,SMAPE,36739,135.85749343604172,136.20002059731678,-0.3425271612750578,-0.0025212239134701163,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,135.85749343604172,135.94848153911926,-0.09098810307753524,-0.0006697319432024568,-0.25153905819752254,False
EEM,PM_CAST_D,CP_REPO_FRESH,MAE,36739,0.00048633478130653043,0.00047488737600656254,1.144740529996789e-05,0.023538117650591685,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,0.00048633478130653043,0.0004849506277629464,1.3841535435840419e-06,0.00284609202711255,1.0063251756383849e-05,True
EEM,PM_CAST_D,CP_REPO_FRESH,MAE,36739,0.00048633478130653043,0.00047488737600656254,1.144740529996789e-05,0.023538117650591685,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,0.00048633478130653043,0.0004841193446382585,2.215436668271927e-06,0.004555373692007371,9.231968631695964e-06,True
EEM,PM_CAST_D,CP_REPO_FRESH,MAE,36739,0.00048633478130653043,0.00047488737600656254,1.144740529996789e-05,0.023538117650591685,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,0.00048633478130653043,0.00048279301426310504,3.541767043425384e-06,0.007282569907729989,7.905638256542507e-06,True
EEM,PM_CAST_D,CP_REPO_FRESH,MSE,36739,1.5196903857900638e-06,1.5182566332683507e-06,1.4337525217131473e-09,0.0009434504127416462,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,1.5196903857900638e-06,1.5202752968890168e-06,-5.849110989529793e-10,-0.0003848883327960866,2.0186636206661266e-09,True
EEM,PM_CAST_D,CP_REPO_FRESH,MSE,36739,1.5196903857900638e-06,1.5182566332683507e-06,1.4337525217131473e-09,0.0009434504127416462,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,1.5196903857900638e-06,1.5211843081824756e-06,-1.4939223924118174e-09,-0.0009830439189329673,2.9276749141249647e-09,True
EEM,PM_CAST_D,CP_REPO_FRESH,MSE,36739,1.5196903857900638e-06,1.5182566332683507e-06,1.4337525217131473e-09,0.0009434504127416462,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,1.5196903857900638e-06,1.519721693502342e-06,-3.130771227822157e-11,-2.0601375497907864e-05,1.4650602339913689e-09,True
EEM,PM_CAST_D,CP_REPO_FRESH,RMSE,36739,0.001232757229056096,0.0012321755691736267,5.816598824693459e-07,0.000471836521222199,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36739,0.001232757229056096,0.0012329944431703724,-2.3721411427637604e-07,-0.00019242565258206386,8.188739967457219e-07,True
EEM,PM_CAST_D,CP_REPO_FRESH,RMSE,36739,0.001232757229056096,0.0012321755691736267,5.816598824693459e-07,0.000471836521222199,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36739,0.001232757229056096,0.001233363007464743,-6.05778408646878e-07,-0.0004914012218859293,1.1874382911162239e-06,True
EEM,PM_CAST_D,CP_REPO_FRESH,RMSE,36739,0.001232757229056096,0.0012321755691736267,5.816598824693459e-07,0.000471836521222199,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36739,0.001232757229056096,0.001232769927237983,-1.2698181887059456e-08,-1.0300634697378547e-05,5.943580643564053e-07,True
FXI,PM_CAST_D,CP_REPO_FRESH,SMAPE,36817,97.06344889936362,96.17165447307082,0.8917944262928046,0.009187747153075368,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36817,97.06344889936362,96.82415792110903,0.23929097825458712,0.0024653047152969646,0.6525034480382175,True
FXI,PM_CAST_D,CP_REPO_FRESH,SMAPE,36817,97.06344889936362,96.17165447307082,0.8917944262928046,0.009187747153075368,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36817,97.06344889936362,96.79328446452607,0.2701644348375538,0.00278337971606246,0.6216299914552508,True
FXI,PM_CAST_D,CP_REPO_FRESH,SMAPE,36817,97.06344889936362,96.17165447307082,0.8917944262928046,0.009187747153075368,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36817,97.06344889936362,96.75516595371941,0.30828294564420844,0.003176097172931073,0.5835114806485961,True
FXI,PM_CAST_D,CP_REPO_FRESH,MAE,36817,0.0007187823869234105,0.000698534206799901,2.0248180123509478e-05,0.028170111694274184,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36817,0.0007187823869234105,0.0007134710467156474,5.311340207763034e-06,0.007389357758885905,1.4936839915746444e-05,True
FXI,PM_CAST_D,CP_REPO_FRESH,MAE,36817,0.0007187823869234105,0.000698534206799901,2.0248180123509478e-05,0.028170111694274184,CONTIGUOUS_CAST_D,CP_REPO_FRESH,36817,0.0007187823869234105,0.0007129374557031492,5.844931220261242e-06,0.008131711804012311,1.4403248903248236e-05,True
FXI,PM_CAST_D,CP_REPO_FRESH,MAE,36817,0.0007187823869234105,0.000698534206799901,2.0248180123509478e-05,0.028170111694274184,CAST_D_CALIBRATION_ONLY,CP_REPO_FRESH,36817,0.0007187823869234105,0.0007119551927545561,6.827194168854329e-06,0.009498276937581384,1.3420985954655149e-05,True
FXI,PM_CAST_D,CP_REPO_FRESH,MSE,36817,4.074102308858076e-06,4.0796326136150276e-06,-5.530304756951855e-09,-0.0013574290328761862,SPECTRAL_RANDOM_CAST_D,CP_REPO_FRESH,36817,4.074102308858076e-06,4.075875132501788e-06,-1.7728236437119182e-09,-0.0004351446059313175,-3.757481113239937e-09,False
