model_name,loss_metric,bootstrap_reps,block_days,ci_low,ci_high,bootstrap_mean_advantage,one_sided_p_advantage_le_zero
PM_CAST_D,SMAPE,2000,5,0.22528907737684423,0.8805174729864733,0.5576016124594372,0.0009995002498750624
PM_CAST_D,MAE,2000,5,1.0787756736240463e-05,1.746216418542238e-05,1.4189691325942187e-05,0.0004997501249375312
PM_CAST_D,MSE,2000,5,-4.6721429978614996e-09,-8.756188683062847e-11,-2.0625560029369647e-09,0.9820089955022488
PM_CAST_D,RMSE,2000,5,-1.3739191443635602e-06,-3.366656763924069e-08,-6.807166698708825e-07,0.9820089955022488
SPECTRAL_RANDOM_CAST_D,SMAPE,2000,5,0.08280236601708614,0.26969533150518654,0.1771331465578764,0.0004997501249375312
SPECTRAL_RANDOM_CAST_D,MAE,2000,5,2.4678354562995966e-06,4.517877080317997e-06,3.541839107630997e-06,0.0004997501249375312
SPECTRAL_RANDOM_CAST_D,MSE,2000,5,-2.7829861357722434e-09,-5.465060195456959e-10,-1.5841207559838991e-09,0.9995002498750625
SPECTRAL_RANDOM_CAST_D,RMSE,2000,5,-8.126682687132529e-07,-2.2919129954972087e-07,-5.262607249036776e-07,0.9995002498750625
CONTIGUOUS_CAST_D,SMAPE,2000,5,0.019064595189339967,0.18407762478598627,0.10236880678457709,0.008995502248875561
CONTIGUOUS_CAST_D,MAE,2000,5,1.7232225621601133e-06,4.068049767301739e-06,2.881786841723616e-06,0.0004997501249375312
CONTIGUOUS_CAST_D,MSE,2000,5,-4.405947579217423e-09,-1.4450005842564568e-09,-2.8411689689190228e-09,1.0
CONTIGUOUS_CAST_D,RMSE,2000,5,-1.3912962056348254e-06,-5.708945148337084e-07,-9.599675005227104e-07,1.0
CAST_D_CALIBRATION_ONLY,SMAPE,2000,5,0.09648468466617198,0.296899445864998,0.20167739323487763,0.0004997501249375312
CAST_D_CALIBRATION_ONLY,MAE,2000,5,3.596630062589709e-06,5.839804500105378e-06,4.6913282410913565e-06,0.0004997501249375312
CAST_D_CALIBRATION_ONLY,MSE,2000,5,-9.81027529976449e-10,8.960199751447672e-11,-3.8023009419408413e-10,0.9310344827586207
CAST_D_CALIBRATION_ONLY,RMSE,2000,5,-2.931862862750017e-07,3.498616021330836e-08,-1.2418033074002375e-07,0.9310344827586207
