feature_name,feature_family,source_model,n_lags,zero_block_sum_pass,max_abs_block_sum,global_weight_sum,global_level_sum_pass,block_sums_json,weights_json,asset,run_type,seed,prime_mode,laplacian_eigenvalue,diffusion_tau,model_role,component,pm_low_modes
PMQDK_MODE_19_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.8442001072059269,2.220446049250313e-16,True,"{""B1"": -0.8442001072059269, ""B2"": -0.4237468855085834, ""B3"": 0.7191544569928592, ""B4"": 0.5487925357216512}","[-1.4738497777482197e-15, -0.8924693182327679, 0.04826921102684247, 0.47474188727576594, 0.36945821993015976, -0.3789984875213468, -0.7992245599903263, -0.08972394520283611, 0.31607815126518096, 0.4420323983916935, 0.5442495511544193, 0.06201173934271998, -0.40989078257852585, -0.23532660058262866, -0.1300429332370225, 0.20341213399782215, 0.9852597780184863, 0.45134551675452056, -0.5554934379583182, -0.6814476850848322, -0.3686631976308939, 0.6444223608618891]",AAPL,smoke,42,"[1, 2, 0]",7.000000000000001,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_20_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.6717422365704153,2.0816681711721685e-15,True,"{""B1"": 0.7081416535915394, ""B2"": -1.6717422365704153, ""B3"": 0.7945199991871168, ""B4"": 0.16908058379176127}","[1.2599258846666803e-15, 0.5564728537275239, 0.1516687998640143, -0.23014515495668106, -0.4779964986348586, -0.6663898289165019, -0.3447107260748816, 0.0474999720125079, 0.5336525869071148, 0.7688262812747396, 0.6010566053040792, 0.10547973567260793, -0.324679616812007, -0.889815593159418, -0.9289896166897748, -0.6137342546146319, -0.4753771732997274, 0.12551084493548345, 0.5863081612089848, 0.6381598340498943, 0.6790674782270549, 0.15813530997447797]",AAPL,smoke,42,"[1, 0, 2]",7.618033988749895,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_20_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,2.698716495002949,1.6653345369377348e-15,True,"{""B1"": 0.4507914598223413, ""B2"": -2.3915784851370665, ""B3"": 2.698716495002949, ""B4"": -0.757929469688222}","[8.118634548540372e-16, 0.1483284957787341, 0.3024629640436064, -0.0657153916816304, -0.3850760681407088, -0.5640821582748395, -0.8061485918512302, -0.5705562751886576, -0.32470386670903595, 0.06951353110263117, 0.6206805493210523, 0.6662567877624623, 0.9701046987325129, 0.6968647947933263, 0.1328522238430193, -0.5458238279684633, -0.692951809758804, -0.7020113875874598, -0.3064455364026599, 0.18271031319505748, 0.4892254369222501, 0.6845151180688384]",AAPL,smoke,42,"[1, 0, 2]",7.618033988749895,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_21_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.671742236570418,1.3322676295501878e-15,True,"{""B1"": 0.7081416535915401, ""B2"": -1.671742236570418, ""B3"": 0.7945199991871197, ""B4"": 0.1690805837917606}","[1.25992588466668e-15, 0.5564728537275239, 0.151668799864015, -0.23014515495668125, -0.47799649863485927, -0.6663898289165018, -0.3447107260748825, 0.04749997201250699, 0.5336525869071145, 0.7688262812747396, 0.6010566053040794, 0.10547973567260849, -0.3246796168120057, -0.8898155931594169, -0.9289896166897744, -0.613734254614632, -0.4753771732997277, 0.12551084493548234, 0.5863081612089843, 0.6381598340498946, 0.6790674782270548, 0.15813530997447833]",AAPL,smoke,42,"[1, 0, 3]",7.618033988749895,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_21_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,2.6987164950029503,-2.3314683517128287e-15,True,"{""B1"": -0.4507914598223412, ""B2"": 2.3915784851370665, ""B3"": -2.6987164950029503, ""B4"": 0.7579294696882222}","[-8.118634548540375e-16, -0.14832849577873372, -0.3024629640436067, 0.06571539168162999, 0.3850760681407091, 0.5640821582748394, 0.8061485918512302, 0.5705562751886579, 0.3247038667090365, -0.06951353110263112, -0.6206805493210524, -0.6662567877624626, -0.9701046987325135, -0.6968647947933273, -0.13285222384301965, 0.5458238279684634, 0.6929518097588039, 0.7020113875874602, 0.30644553640266053, -0.18271031319505748, -0.48922543692225023, -0.6845151180688381]",AAPL,smoke,42,"[1, 0, 3]",7.618033988749895,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_22_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.3169979514588948,5.467848396278896e-15,True,"{""B1"": 0.0767491601904188, ""B2"": 1.3169979514588948, ""B3"": -0.5752986238548946, ""B4"": -0.8184484877944135}","[8.174647584229107e-16, 0.02602852358824946, 0.05072063660216852, -0.0601588209842695, -0.016590339206144094, 0.5071462548466001, 0.4570063547393807, 0.42959450206332744, 0.27451722075595714, 0.10058226313717242, -0.0925094244820694, -0.3999241656580381, -0.2244957202492786, -0.23346879735863804, -0.2620560569427975, -0.5000523591768644, -0.2911185976164967, -0.25581941841621897, 0.01911039758695212, 0.17806413301177368, 0.08541552881233216, 0.20800788494690617]",AAPL,smoke,42,"[1, 1, 1]",8.381966011250105,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_22_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,4.516930488928794,6.661338147750939e-16,True,"{""B1"": 0.2609292705095599, ""B2"": -2.360339100801541, ""B3"": -2.417520658636812, ""B4"": 4.516930488928794}","[-5.60658399291768e-16, 0.11864953409056123, 0.14227973641899921, -0.0840609955606936, -0.17686827494886753, -0.6735196862082651, -0.8066311676655846, -0.61925897641813, -0.6177798940240368, -0.6803208606131141, -0.4574922084672686, -0.47245628548611834, -0.1669299816199489, -0.02254142842632486, 0.08115034600726136, 0.23459533300245436, 0.3814725646153092, 0.6439092216190764, 0.7243823180110556, 0.7760387895547232, 0.89641656167308, 0.7789653544458336]",AAPL,smoke,42,"[1, 1, 1]",8.381966011250105,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_23_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,0.6821242603642205,-1.6653345369377348e-15,True,"{""B1"": 0.4710875904329786, ""B2"": -0.6821242603642205, ""B3"": -0.15187152102517604, ""B4"": 0.36290819095641624}","[-1.0219863732916824e-15, -0.1880747999483884, 0.659162390381368, -0.8272912936656875, 0.3562037032327097, 0.2826996966287709, -0.6473027450810193, 0.15356637852100563, 0.005587451549316553, 0.03392756091227839, -0.07107609540464493, 0.005327110888685744, -0.31987590132080074, 0.19423835234998893, -0.0955142366510593, 0.1527859439913753, -0.1502405112567471, -0.4928528675815737, 0.6274654897663817, -0.2946170274939273, -0.36440954521550306, 0.9802909453974697]",AAPL,smoke,42,"[1, 1, 4]",8.381966011250105,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_23_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.3002356805747731,-4.996003610813204e-16,True,"{""B1"": 0.003428870798724004, ""B2"": 0.3002356805747731, ""B3"": -0.1719524228811208, ""B4"": -0.1317121284923768}","[1.2225637802225416e-15, -0.8479409613604948, 0.8513698321592176, 0.3141159664871121, -0.31754483728583643, 0.6257494329158939, -0.09819826593837475, -0.22388661560402165, 0.024141589004344193, -0.24057015151183125, 0.27923422515782376, -0.0516387805930846, -0.09868919042046512, -0.08443011451790777, -0.10211117916429342, -0.08626678988637358, 0.5343421356484752, -0.5287940261347329, -0.25382744097354765, 0.6602261679619611, -0.8187168681873442, 0.4634358722434787]",AAPL,smoke,42,"[1, 1, 4]",8.381966011250105,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_24_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,0.6821242603642226,-2.4424906541753444e-15,True,"{""B1"": 0.4710875904329789, ""B2"": -0.6821242603642226, ""B3"": -0.1518715210251753, ""B4"": 0.36290819095641647}","[-1.0219863732916794e-15, -0.1880747999483891, 0.659162390381369, -0.8272912936656873, 0.3562037032327088, 0.28269969662877076, -0.6473027450810194, 0.15356637852100458, 0.005587451549316575, 0.0339275609122784, -0.07107609540464452, 0.005327110888685295, -0.31987590132080074, 0.19423835234998968, -0.09551423665105922, 0.15278594399137538, -0.1502405112567466, -0.49285286758157404, 0.6274654897663806, -0.29461702749392643, -0.36440954521550345, 0.9802909453974702]",AAPL,smoke,42,"[1, 2, 1]",8.381966011250107,0.05,PM quotient harmonic basis,real,
